FIXEDDEPOSITID,INVESTMENTACCOUNTID,PRINCIPALAMOUNT,INTERESTRATE,MATURITYDATE,INTERESTPAYMENTFREQUENCY,MATURITYAMOUNT
1087,IJEQ54093762682396,461941,5.89,YYYY-15-DD 17:15:SS,Daily,3658343
1088,ESRM99751469777180,131140,7.9,YYYY-18-DD 06:18:SS,Quarterly,6023203
1089,HDSM83580443981830,948221,6.39,YYYY-11-DD 03:11:SS,Half Yearly,9295501
1090,SAOQ46079334206896,38528,8.14,YYYY-46-DD 19:46:SS,Half Yearly,8810482
1091,QYPC19836589775770,11615,7.49,YYYY-10-DD 15:10:SS,Yearly,4161951
1092,ZXFM55667283468310,462980,7.2,YYYY-51-DD 19:51:SS,Weekly,5844664
1093,INKX24179985994305,852626,7.75,YYYY-45-DD 20:45:SS,Monthly,2529645
1094,QBNA53414616087368,538176,6.71,YYYY-42-DD 01:42:SS,Quarterly,6032208
1095,FRGJ40231056988083,791975,6.79,YYYY-54-DD 06:54:SS,Half Yearly,8216419
1096,OKHZ39844130414005,43098,8.49,YYYY-24-DD 17:24:SS,Half Yearly,6454414
1097,DMAF66266081736143,25812,6.2,YYYY-35-DD 21:35:SS,Weekly,4110918
1098,PQWE76577015009033,151380,7.52,YYYY-06-DD 11:06:SS,Daily,6820280
1099,OPBK37681567346552,546762,6.64,YYYY-46-DD 12:46:SS,Half Yearly,546809
1100,WUKH83150629729780,452017,8.6,YYYY-24-DD 13:24:SS,Daily,1299821
1101,KYVO23914874523063,119381,5.68,YYYY-44-DD 06:44:SS,Weekly,5109571
1102,ZXFM55667283468310,193829,8.8,YYYY-51-DD 12:51:SS,Quarterly,8512123
1103,BNGM02701870523666,751324,7.79,YYYY-31-DD 11:31:SS,Yearly,3079655
1104,VWMI89518425235510,483052,7.4,YYYY-26-DD 23:26:SS,Weekly,6030395
1105,OAZV16490076393420,807783,6.29,YYYY-49-DD 11:49:SS,Yearly,3990348
1106,JDVI71117723511727,972998,7.13,YYYY-11-DD 15:11:SS,Quarterly,4497462
1107,ZSWZ93559469888050,730796,6.99,YYYY-29-DD 04:29:SS,Half Yearly,4205707
1108,ZMSG46514882192902,643443,6.48,YYYY-54-DD 12:54:SS,Daily,9947215
1109,EMWJ49270625197952,298022,6.35,YYYY-11-DD 22:11:SS,Monthly,298025
1110,TWHF66260111350834,731016,6.9,YYYY-08-DD 16:08:SS,Quarterly,6451814
1111,YKMQ40184147814864,522620,6.7,YYYY-09-DD 20:09:SS,Yearly,8428233
1112,GZWH15389842581562,694189,5.38,YYYY-59-DD 11:59:SS,Quarterly,6803999
1113,XCCF11624826673171,825002,7.39,YYYY-40-DD 23:40:SS,Quarterly,6987897
1114,BHOT93281128778165,365040,7.5,YYYY-49-DD 05:49:SS,Half Yearly,9989108
1115,SWOX34309038234572,663376,8.27,YYYY-41-DD 08:41:SS,Half Yearly,6564921
1116,AOFT64243539679652,863733,5.47,YYYY-37-DD 03:37:SS,Yearly,863738
1117,JQHD74442641420120,796082,8.63,YYYY-26-DD 01:26:SS,Daily,9107764
1118,QASD65383442571955,687852,6.89,YYYY-37-DD 12:37:SS,Quarterly,4228580
1119,TVNU34823184359537,771728,5.77,YYYY-24-DD 08:24:SS,Monthly,3230860
1120,GWGM00211069434245,522989,8.74,YYYY-29-DD 06:29:SS,Quarterly,9003208
1121,RMSW88668428679429,760801,8.68,YYYY-55-DD 06:55:SS,Daily,1442491
1122,MQJQ57633532489772,231362,8.34,YYYY-49-DD 01:49:SS,Half Yearly,8541528
1123,UWXN25047347536990,468352,6.76,YYYY-07-DD 14:07:SS,Daily,4613068
1124,QREZ54203489954561,855831,7.89,YYYY-31-DD 17:31:SS,Yearly,5628341
1125,BQEP12379396321424,701421,7.63,YYYY-37-DD 04:37:SS,Yearly,8177208
1126,MAXR19027686967003,972864,6.19,YYYY-08-DD 14:08:SS,Monthly,4793677
1127,VZQH55264003139536,578584,5.46,YYYY-24-DD 08:24:SS,Daily,8834036
1128,BNHK04755291194829,941893,7.91,YYYY-25-DD 09:25:SS,Half Yearly,2178770
1129,UWXN25047347536990,565407,6.45,YYYY-13-DD 21:13:SS,Half Yearly,7899673
1130,GAFC87099668063558,156339,6.22,YYYY-45-DD 07:45:SS,Yearly,7584993
1131,CGTH86872332786541,470747,8.83,YYYY-05-DD 21:05:SS,Daily,7007340
1132,VXWK51620205779873,215992,5.18,YYYY-01-DD 12:01:SS,Monthly,8630233
1133,ZEAT76113248600247,46361,8.18,YYYY-43-DD 14:43:SS,Daily,9889863
1134,XRDW65964429153926,743544,7.53,YYYY-28-DD 06:28:SS,Daily,9111390
1135,HKJB65415824166303,547438,7.92,YYYY-47-DD 09:47:SS,Monthly,1490871
1136,SDPY95268952018655,939372,5.31,YYYY-20-DD 21:20:SS,Monthly,2928529
1137,JNWR93505299265151,864251,5.89,YYYY-10-DD 23:10:SS,Weekly,9081303
1138,WDBT61114518149963,323568,6.5,YYYY-31-DD 03:31:SS,Daily,4071745
1139,CFJX60053815520823,397151,7.44,YYYY-56-DD 18:56:SS,Weekly,1609050
1140,LWPR22749146026855,242925,7.9,YYYY-40-DD 19:40:SS,Half Yearly,8394835
1141,QNCZ98241997977700,436177,6.4,YYYY-39-DD 11:39:SS,Yearly,6823618
1142,WWIL58463713771640,517094,8.55,YYYY-46-DD 09:46:SS,Quarterly,6976684
1143,SOWS39449879896237,358888,8.95,YYYY-45-DD 12:45:SS,Quarterly,358890
1144,HWXA89164613044061,298338,5.2,YYYY-14-DD 00:14:SS,Monthly,8700448
1145,MTXJ18666380024418,292467,8.23,YYYY-40-DD 02:40:SS,Quarterly,5592979
1146,HLKY90596079897073,237314,6.55,YYYY-15-DD 02:15:SS,Monthly,546426
1147,XNMV05880498622489,754822,7.76,YYYY-06-DD 04:06:SS,Yearly,9039018
1148,QEJE87599488976144,440267,5.39,YYYY-18-DD 10:18:SS,Yearly,6163797
1149,SWOX34309038234572,933560,5.1,YYYY-27-DD 15:27:SS,Quarterly,4554261
1150,SOVI57967092082951,44924,8.22,YYYY-15-DD 05:15:SS,Half Yearly,1374316
1151,VWMI89518425235510,271950,7.16,YYYY-45-DD 21:45:SS,Daily,356824
1152,TZUA97720526573156,772994,5.29,YYYY-23-DD 11:23:SS,Half Yearly,7299868
1153,WNFR47846002554899,263353,5.37,YYYY-04-DD 01:04:SS,Quarterly,7507475
1154,ZJVC21658490758170,55804,5.12,YYYY-27-DD 23:27:SS,Quarterly,4481403
1155,GBFW45172047821760,348521,5.58,YYYY-21-DD 10:21:SS,Quarterly,4113305
1156,JUPO88601819066403,546963,6.81,YYYY-57-DD 22:57:SS,Daily,6354829
1157,GXDF04236285441565,405203,6.55,YYYY-42-DD 18:42:SS,Yearly,2548538
1158,NZXH18528351013737,235010,6.35,YYYY-39-DD 15:39:SS,Quarterly,838241
1159,PXJP04306564441133,857162,7.67,YYYY-59-DD 10:59:SS,Weekly,3634290
1160,CUMP30797612563547,235541,7.91,YYYY-45-DD 11:45:SS,Weekly,239319
1161,TATP20318107697868,661351,7.62,YYYY-00-DD 15:00:SS,Daily,5153453
1162,GOPW83072649966050,662535,8.9,YYYY-43-DD 18:43:SS,Weekly,3891740
1163,CHEQ54809613330126,971555,6.32,YYYY-27-DD 12:27:SS,Quarterly,9822545
1164,KSLV06235627308556,192473,8.91,YYYY-55-DD 04:55:SS,Weekly,4422187
1165,MORC18818789048741,868635,8.92,YYYY-50-DD 03:50:SS,Half Yearly,6994433
1166,VVPA50255195379634,316896,8.53,YYYY-30-DD 18:30:SS,Daily,1163466
1167,LGUX21835310251146,527211,8.59,YYYY-03-DD 21:03:SS,Daily,6053777
1168,PEZP78773008606128,650988,8.65,YYYY-45-DD 02:45:SS,Quarterly,2976910
1169,JFWV01903811224220,37986,5.24,YYYY-19-DD 01:19:SS,Quarterly,5097571
1170,ZEHM12667387432613,71120,6.57,YYYY-35-DD 17:35:SS,Half Yearly,8795327
1171,OPBK37681567346552,744853,5.18,YYYY-28-DD 10:28:SS,Weekly,863421
1172,KTCW16919244748995,748729,6.67,YYYY-35-DD 12:35:SS,Half Yearly,748734
1173,NKQD97300122738992,942177,6.95,YYYY-12-DD 23:12:SS,Half Yearly,4689098
1174,BBCH92077746222146,330932,8.37,YYYY-42-DD 06:42:SS,Yearly,7459103
1175,ABUX60263787062329,558696,5.5,YYYY-29-DD 05:29:SS,Half Yearly,625804
1176,SUTW06240330644480,285322,6.8,YYYY-49-DD 00:49:SS,Quarterly,1517788
1177,ISWB38065990643711,201596,7.67,YYYY-23-DD 15:23:SS,Half Yearly,201618
1178,CDTE55251979808232,773631,5.1,YYYY-10-DD 18:10:SS,Half Yearly,2396074
1179,DSQS88464264249373,607951,6.8,YYYY-30-DD 23:30:SS,Monthly,8545020
1180,LBRW87153627029949,615105,7.18,YYYY-40-DD 17:40:SS,Half Yearly,9928600
1181,AWYP94977779542709,900563,6.43,YYYY-17-DD 11:17:SS,Monthly,8735682
1182,ZNHX27281115624896,458706,6.95,YYYY-48-DD 22:48:SS,Quarterly,1214155
1183,PEZO02640591412476,534406,7.37,YYYY-30-DD 09:30:SS,Yearly,7773107
1184,LFWR54772488781776,380193,5.98,YYYY-32-DD 01:32:SS,Monthly,9840415
1185,FPIE20611462617125,709211,7.32,YYYY-07-DD 12:07:SS,Daily,7914032
1186,BCDK63588958076729,70036,7.62,YYYY-03-DD 07:03:SS,Daily,5569123
1187,MTPE85390752835907,395092,8.11,YYYY-50-DD 09:50:SS,Weekly,973241
1188,PGQX59983435018575,604411,6.71,YYYY-33-DD 17:33:SS,Yearly,5977641
1189,SGHW29068446369717,524244,5.55,YYYY-43-DD 20:43:SS,Half Yearly,2921549
1190,VZSX03701896388241,719196,8.62,YYYY-21-DD 20:21:SS,Monthly,5564945
1191,VVPA50255195379634,274878,7.91,YYYY-42-DD 22:42:SS,Yearly,3302240
1192,AFCW06839238647243,974130,6.7,YYYY-07-DD 08:07:SS,Daily,4017459
1193,SUVG81879117313626,344597,7.13,YYYY-10-DD 09:10:SS,Yearly,2461129
1194,APYL08333668442780,742289,8.96,YYYY-13-DD 07:13:SS,Yearly,4155163
1195,CTPZ02552923447185,833690,5.72,YYYY-07-DD 15:07:SS,Monthly,6771847
1196,KHAU35779352593749,867010,5.4,YYYY-06-DD 12:06:SS,Quarterly,4901870
1197,PIIN61251647755107,485241,7.53,YYYY-46-DD 00:46:SS,Quarterly,3310574
1198,OAMS80744612583949,124542,7.6,YYYY-55-DD 17:55:SS,Yearly,165060
1199,GXDF04236285441565,429627,7.3,YYYY-03-DD 12:03:SS,Monthly,3566182
1200,TAGE82155998646705,452036,7.22,YYYY-36-DD 20:36:SS,Half Yearly,4910461
1201,TTOO22397973218092,854963,5.45,YYYY-49-DD 15:49:SS,Quarterly,3074421
1202,BPWF20863880346651,159806,6.55,YYYY-25-DD 21:25:SS,Half Yearly,611665
1203,PLKF88256332540231,171458,6.1,YYYY-46-DD 02:46:SS,Daily,4460707
1204,ZOUL90114385607891,671402,8.73,YYYY-46-DD 15:46:SS,Daily,5660671
1205,KZFV21796667587063,430963,8.63,YYYY-23-DD 13:23:SS,Yearly,3963007
1206,IOMG51124133152453,530126,5.1,YYYY-44-DD 22:44:SS,Quarterly,9391514
1207,AALO95363141318555,172310,6,YYYY-23-DD 01:23:SS,Daily,404854
1208,IBCT66648702435420,711970,7.22,YYYY-16-DD 06:16:SS,Half Yearly,4751969
1209,VRXJ08333956671361,906961,7.93,YYYY-59-DD 15:59:SS,Quarterly,906965
1210,LGLN03698108460419,739462,7.78,YYYY-10-DD 14:10:SS,Monthly,6929506
1211,CXAS13658001863332,363501,6.39,YYYY-29-DD 05:29:SS,Daily,1132911
1212,FDWA99716586152101,207367,6.79,YYYY-55-DD 12:55:SS,Yearly,7921290
1213,DMIK21753740478462,754288,5.14,YYYY-18-DD 00:18:SS,Half Yearly,6182230
1214,HHWK78993572985070,117683,8.53,YYYY-26-DD 11:26:SS,Yearly,950982
1215,JNFQ85424302634939,101563,5.67,YYYY-07-DD 20:07:SS,Monthly,8013759
1216,IBPZ12392772392727,673971,8.87,YYYY-24-DD 11:24:SS,Monthly,4116159
1217,FRGJ40231056988083,41820,8.3,YYYY-41-DD 19:41:SS,Daily,3200465
1218,EWCL90832985548814,350669,5.68,YYYY-30-DD 12:30:SS,Monthly,742707
1219,YDBX38237957940883,637204,5.94,YYYY-29-DD 16:29:SS,Yearly,5194261
1220,EFZA96900143020687,390552,7.15,YYYY-49-DD 03:49:SS,Monthly,390578
1221,BFZI24803483631005,947493,8.12,YYYY-27-DD 00:27:SS,Monthly,947508
1222,FPYC07002341548117,379921,6.75,YYYY-31-DD 00:31:SS,Yearly,5638209
1223,IUVQ44718197030690,796055,6.72,YYYY-45-DD 06:45:SS,Weekly,5201324
1224,QYPC19836589775770,853696,7.39,YYYY-43-DD 22:43:SS,Daily,6597417
1225,LGUX21835310251146,897596,7.98,YYYY-16-DD 05:16:SS,Monthly,9287852
1226,XTDE14445910277208,234437,6.73,YYYY-01-DD 22:01:SS,Monthly,7485946
1227,WBUS99097290173024,535732,6.91,YYYY-56-DD 11:56:SS,Weekly,6194948
1228,AQZD43682287299422,897598,6.3,YYYY-14-DD 17:14:SS,Monthly,8851198
1229,YHAG73910539157117,402613,8.94,YYYY-19-DD 13:19:SS,Half Yearly,8435284
1230,HYLY08481541612826,11052,8.42,YYYY-49-DD 20:49:SS,Half Yearly,8908747
1231,HNNF97545743164040,874556,7.6,YYYY-13-DD 06:13:SS,Half Yearly,1747916
1232,QQXK95050823807740,65166,8.98,YYYY-01-DD 05:01:SS,Half Yearly,4914259
1233,FAUM44878284483466,771140,8.34,YYYY-43-DD 23:43:SS,Quarterly,5863650
1234,VYKZ57572115280649,321171,6.9,YYYY-17-DD 11:17:SS,Yearly,1510187
1235,OIDT60136851038759,510073,8.6,YYYY-46-DD 09:46:SS,Monthly,510115
1236,QBNA53414616087368,14286,7.4,YYYY-12-DD 22:12:SS,Half Yearly,1120810
1237,HOVE02766838191031,288100,8.23,YYYY-46-DD 17:46:SS,Monthly,5862007
1238,QTOE21627918342267,144911,8.28,YYYY-06-DD 01:06:SS,Monthly,8731338
1239,OVXM26419069531091,112577,6.6,YYYY-47-DD 02:47:SS,Half Yearly,6554414
1240,KBQB91405622659946,840210,7.76,YYYY-31-DD 12:31:SS,Yearly,2741813
1241,SRAD00677052117439,310452,8.28,YYYY-33-DD 18:33:SS,Daily,9651322
1242,EENY76459624621883,570490,5.87,YYYY-04-DD 02:04:SS,Daily,2852374
1243,REJL84373123465951,409160,8.95,YYYY-12-DD 00:12:SS,Weekly,6754348
1244,WJBU25802431934254,16192,8.6,YYYY-10-DD 00:10:SS,Yearly,4995514
1245,YFGE51261586276921,746320,7.78,YYYY-43-DD 16:43:SS,Monthly,746338
1246,QXLZ12985124368285,237511,5.46,YYYY-37-DD 06:37:SS,Weekly,2487173
1247,CCZJ97631132086869,122001,5.45,YYYY-55-DD 00:55:SS,Yearly,733880
1248,SXKL10326058990825,959180,7.27,YYYY-45-DD 15:45:SS,Half Yearly,5212593
1249,SVLG73959650150423,737686,6.75,YYYY-49-DD 10:49:SS,Daily,5974265
1250,CTNK61108695514725,13287,8.62,YYYY-24-DD 05:24:SS,Monthly,1360817
1251,DOMG89716655255344,592038,8.89,YYYY-13-DD 15:13:SS,Monthly,604928
1252,TGNB95213129187560,203263,7.3,YYYY-01-DD 16:01:SS,Monthly,6128498
1253,OAMS80744612583949,889563,6.49,YYYY-19-DD 16:19:SS,Monthly,4697645
1254,VYCT16189663828811,597646,6.23,YYYY-49-DD 02:49:SS,Quarterly,9217277
1255,ZNWH94064121852819,627518,8.7,YYYY-38-DD 00:38:SS,Quarterly,9981131
1256,LQDY22881446672908,489817,7.43,YYYY-03-DD 19:03:SS,Weekly,7717192
1257,SEHS53246667227670,811745,8.25,YYYY-09-DD 17:09:SS,Daily,1760850
1258,PWVC77943875073703,468828,5.11,YYYY-27-DD 08:27:SS,Half Yearly,5311955
1259,UQAA91498901598519,997799,6.28,YYYY-42-DD 21:42:SS,Weekly,6995083
1260,IADY88865060559953,381567,5.13,YYYY-11-DD 15:11:SS,Half Yearly,6089569
1261,HDOK23227063824078,203689,5.88,YYYY-04-DD 13:04:SS,Half Yearly,3146248
1262,DXCT93522027197765,901634,7.88,YYYY-44-DD 23:44:SS,Half Yearly,3946144
1263,ULYY19176481773266,838974,8.71,YYYY-12-DD 11:12:SS,Half Yearly,8349308
1264,DSYT91235407530131,517021,8.5,YYYY-23-DD 06:23:SS,Yearly,3144374
1265,NQQX02798433925922,682604,8.62,YYYY-32-DD 00:32:SS,Yearly,9316957
1266,MDKX37460780466990,312990,6.56,YYYY-15-DD 10:15:SS,Weekly,7572772
1267,PQQT09275803711946,61076,8.46,YYYY-38-DD 00:38:SS,Daily,2343216
1268,OOMU81754670127958,591642,6.73,YYYY-45-DD 01:45:SS,Half Yearly,4514678
1269,RBNP84701331656365,730092,5.3,YYYY-26-DD 02:26:SS,Weekly,2202584
1270,TRDE25865740146684,994259,8.91,YYYY-53-DD 17:53:SS,Monthly,6346300
1271,CFOA57326218444224,270002,7.99,YYYY-19-DD 11:19:SS,Quarterly,4077946
1272,UNVZ77034996803913,664111,5.68,YYYY-17-DD 23:17:SS,Quarterly,1036256
1273,WKWQ45104722976136,652510,7.55,YYYY-41-DD 08:41:SS,Half Yearly,5770267
1274,MLDJ75847253804720,355797,6.3,YYYY-29-DD 17:29:SS,Monthly,9311339
1275,SROO48760416528015,763376,8.18,YYYY-43-DD 20:43:SS,Yearly,6229988
1276,IFOC20079072548234,25369,5.5,YYYY-11-DD 13:11:SS,Half Yearly,757740
1277,FXBL74598134090603,744302,8.92,YYYY-18-DD 22:18:SS,Weekly,8783100
1278,PPZC87941350951788,844439,8.8,YYYY-21-DD 18:21:SS,Half Yearly,4359805
1279,CGTH86872332786541,982571,8.7,YYYY-25-DD 22:25:SS,Monthly,2761798
1280,AWYJ33846935836100,275260,8.57,YYYY-51-DD 20:51:SS,Weekly,1720324
1281,YDIP18628973982758,27735,8.18,YYYY-18-DD 07:18:SS,Daily,6316937
1282,JHUC10846070906596,177031,6.78,YYYY-00-DD 01:00:SS,Monthly,3735274
1283,RDRE05120220996497,736577,5.5,YYYY-25-DD 15:25:SS,Monthly,9650195
1284,YXDO51017986660269,291866,7.72,YYYY-56-DD 11:56:SS,Yearly,5470545
1285,VGIU79315478432992,102319,6.22,YYYY-56-DD 03:56:SS,Weekly,4605960
1286,PVBO99698507086163,279510,8.9,YYYY-08-DD 19:08:SS,Weekly,8624949
1287,MZMO25812174377273,968792,5.1,YYYY-11-DD 16:11:SS,Daily,4930385
1288,XDHC68705764855910,964541,8.29,YYYY-04-DD 16:04:SS,Half Yearly,6465691
1289,WBXF00348591606669,629135,8.44,YYYY-40-DD 07:40:SS,Weekly,2407532
1290,NQST46132315477746,933580,6.44,YYYY-30-DD 10:30:SS,Yearly,940335
1291,HLWG69571072859894,699031,8.1,YYYY-03-DD 12:03:SS,Half Yearly,4860108
1292,AALO95363141318555,98894,6.82,YYYY-49-DD 09:49:SS,Quarterly,5740446
1293,DQQI08472205314639,597678,8.79,YYYY-20-DD 20:20:SS,Quarterly,931461
1294,MBLN45346890968719,31555,6.81,YYYY-53-DD 08:53:SS,Yearly,8621360
1295,YOLI32889593727188,837628,7.7,YYYY-54-DD 15:54:SS,Quarterly,5484870
1296,XRYL57742726873399,785734,7.3,YYYY-50-DD 06:50:SS,Quarterly,4813674
1297,FXMZ58068941934575,409355,7.2,YYYY-37-DD 16:37:SS,Monthly,3738075
