ACCOUNTID,CUSTOMERID,ACCOUNTTYPE,ACCOUNTBALANCE,ACCOUNTSTATUS,INTERESTRATE,OPENINGDATE,LASTTRANSACTIONDATE
PUKD86470354980654,2094,Savings account,4722271,Frozen,6.66,YYYY-08-DD 12:08:SS,YYYY-49-DD 04:49:SS
FWTF12018126937536,2206,Checking account,284569,Active,6.64,YYYY-52-DD 15:52:SS,YYYY-23-DD 06:23:SS
EBFL69843108222326,1966,Certificate of deposit (CD),1876081,Active,5.13,YYYY-46-DD 14:46:SS,YYYY-42-DD 20:42:SS
LBZB10786566983465,2047,Certificate of deposit (CD),2593338,Active,8.71,YYYY-08-DD 19:08:SS,YYYY-58-DD 01:58:SS
VQKU06457741171956,1546,Checking account,551415,Closed,7.5,YYYY-15-DD 08:15:SS,YYYY-40-DD 04:40:SS
YFKT81499025631029,2189,Brokerage account,981878,Active,7.27,YYYY-28-DD 17:28:SS,YYYY-49-DD 16:49:SS
KANZ08874838044417,1566,Certificate of deposit (CD),3657781,Frozen,6.5,YYYY-53-DD 02:53:SS,YYYY-02-DD 11:02:SS
QDFD40846555161910,2236,Savings account,4280997,Active,8.51,YYYY-22-DD 13:22:SS,YYYY-04-DD 20:04:SS
HJQS47798492315900,2269,Savings account,737786,Frozen,9.35,YYYY-39-DD 05:39:SS,YYYY-06-DD 10:06:SS
BXZI86722402074257,2266,Individual retirement arrangement (IRA),3937041,Closed,5.11,YYYY-20-DD 20:20:SS,YYYY-38-DD 05:38:SS
VKJD26607264593163,1219,Brokerage account,2464093,Active,8.1,YYYY-52-DD 20:52:SS,YYYY-40-DD 07:40:SS
GJVO54048694175924,1685,Certificate of deposit (CD),4147960,Closed,5.4,YYYY-14-DD 12:14:SS,YYYY-09-DD 06:09:SS
HCUB97731098094434,1223,Savings account,4895891,Active,8.45,YYYY-19-DD 01:19:SS,YYYY-32-DD 01:32:SS
MWRB55324661742643,2395,Money market account,529990,Closed,5.98,YYYY-36-DD 16:36:SS,YYYY-01-DD 05:01:SS
OCDB68260949379990,2324,Individual retirement arrangement (IRA),1679289,Closed,5.63,YYYY-58-DD 20:58:SS,YYYY-01-DD 04:01:SS
FQDW30922444549028,2151,Certificate of deposit (CD),1055841,Closed,8.24,YYYY-13-DD 17:13:SS,YYYY-40-DD 11:40:SS
RFSY96193217088972,1139,Individual retirement arrangement (IRA),1154511,Frozen,5.25,YYYY-31-DD 03:31:SS,YYYY-42-DD 16:42:SS
RKWH22430364614854,1147,Money market account,1193431,Frozen,9.65,YYYY-28-DD 13:28:SS,YYYY-12-DD 09:12:SS
DKKR17513668219312,1961,Checking account,118818,Active,5.11,YYYY-56-DD 18:56:SS,YYYY-17-DD 02:17:SS
LTWG11179839783367,1934,Certificate of deposit (CD),1973450,Frozen,5.52,YYYY-44-DD 03:44:SS,YYYY-12-DD 09:12:SS
SPAL22592406798147,2017,Individual retirement arrangement (IRA),3430202,Closed,5.62,YYYY-50-DD 07:50:SS,YYYY-17-DD 00:17:SS
ISVR01405366485814,1307,Brokerage account,1271433,Frozen,9.99,YYYY-11-DD 09:11:SS,YYYY-16-DD 10:16:SS
DWXB36885988204653,2032,Certificate of deposit (CD),842753,Frozen,5.36,YYYY-33-DD 13:33:SS,YYYY-08-DD 14:08:SS
SLOQ88202751603071,2463,Checking account,1292803,Active,5.82,YYYY-58-DD 02:58:SS,YYYY-55-DD 23:55:SS
KWGD55448770965581,1895,Savings account,3131860,Closed,6.74,YYYY-25-DD 01:25:SS,YYYY-43-DD 02:43:SS
XGBE29280032338493,1393,Savings account,1982148,Frozen,5.29,YYYY-37-DD 01:37:SS,YYYY-44-DD 07:44:SS
KAJS41615107776325,1532,Individual retirement arrangement (IRA),380646,Active,6.8,YYYY-16-DD 03:16:SS,YYYY-15-DD 23:15:SS
KLEA46604307490937,1748,Checking account,2566585,Closed,9.29,YYYY-34-DD 16:34:SS,YYYY-22-DD 13:22:SS
VJFE46832444763459,1911,Checking account,2452916,Frozen,8.18,YYYY-31-DD 04:31:SS,YYYY-49-DD 23:49:SS
VEGV87960048184803,1920,Certificate of deposit (CD),3475934,Closed,8.35,YYYY-21-DD 05:21:SS,YYYY-54-DD 03:54:SS
UYLC72108317177795,1036,Checking account,562127,Active,6.46,YYYY-30-DD 04:30:SS,YYYY-22-DD 19:22:SS
RHMI37033975407329,2178,Individual retirement arrangement (IRA),3022066,Frozen,8.49,YYYY-02-DD 21:02:SS,YYYY-17-DD 03:17:SS
ACSW96129321986344,1195,Individual retirement arrangement (IRA),1369835,Frozen,7.79,YYYY-04-DD 17:04:SS,YYYY-39-DD 20:39:SS
DLGQ85891949547650,1335,Certificate of deposit (CD),2119970,Active,8.13,YYYY-49-DD 11:49:SS,YYYY-33-DD 22:33:SS
FWHH56932157639621,1027,Money market account,4278280,Frozen,7.28,YYYY-10-DD 10:10:SS,YYYY-04-DD 10:04:SS
SZSI97129456927334,1033,Money market account,568750,Closed,5.33,YYYY-23-DD 00:23:SS,YYYY-58-DD 04:58:SS
GNBT16655661101019,2057,Individual retirement arrangement (IRA),3099168,Closed,8.83,YYYY-43-DD 12:43:SS,YYYY-01-DD 21:01:SS
DMFU60311063648586,2035,Money market account,1665289,Active,5.93,YYYY-19-DD 13:19:SS,YYYY-19-DD 13:19:SS
UAEG31388426531673,1710,Checking account,456195,Active,9.9,YYYY-14-DD 07:14:SS,YYYY-19-DD 14:19:SS
FNGU41826298778836,1479,Checking account,3310566,Closed,8.65,YYYY-17-DD 17:17:SS,YYYY-45-DD 19:45:SS
IUNM44068541117950,2475,Certificate of deposit (CD),3616479,Closed,6.55,YYYY-48-DD 00:48:SS,YYYY-13-DD 12:13:SS
OSLC84981968132204,1916,Checking account,797868,Closed,6.9,YYYY-58-DD 11:58:SS,YYYY-11-DD 08:11:SS
FCSX07922157785685,1917,Individual retirement arrangement (IRA),2850111,Active,6.52,YYYY-58-DD 14:58:SS,YYYY-19-DD 08:19:SS
LESP30565945853045,2366,Individual retirement arrangement (IRA),4659903,Closed,6.38,YYYY-30-DD 06:30:SS,YYYY-12-DD 23:12:SS
ZOCO05034681189285,1043,Certificate of deposit (CD),3241620,Frozen,5.36,YYYY-05-DD 09:05:SS,YYYY-39-DD 04:39:SS
XVWV07944487531162,1360,Checking account,4035820,Frozen,5.64,YYYY-58-DD 17:58:SS,YYYY-40-DD 05:40:SS
RLZB21049461390417,1748,Checking account,4601544,Closed,5.34,YYYY-43-DD 23:43:SS,YYYY-32-DD 11:32:SS
LLMM87940893148620,1135,Checking account,4153072,Frozen,8.1,YYYY-15-DD 17:15:SS,YYYY-22-DD 04:22:SS
LKHR52784676437225,1703,Checking account,1906129,Closed,7.38,YYYY-06-DD 23:06:SS,YYYY-30-DD 18:30:SS
HFSG08589588384545,1420,Savings account,1827871,Frozen,6.77,YYYY-20-DD 18:20:SS,YYYY-46-DD 21:46:SS
AKBY98224589027580,1379,Brokerage account,1707609,Active,6.88,YYYY-16-DD 00:16:SS,YYYY-56-DD 19:56:SS
ZKLH70670554225724,2465,Savings account,861292,Closed,8.11,YYYY-00-DD 00:00:SS,YYYY-52-DD 16:52:SS
FIXX81913279728265,1659,Checking account,2652565,Active,9.28,YYYY-39-DD 09:39:SS,YYYY-56-DD 22:56:SS
CMVG36343701411034,1569,Checking account,1964243,Closed,5.72,YYYY-36-DD 04:36:SS,YYYY-37-DD 02:37:SS
IRAV00842309371895,1974,Savings account,1068291,Closed,6.77,YYYY-05-DD 02:05:SS,YYYY-20-DD 19:20:SS
SBUO67862144321899,2474,Individual retirement arrangement (IRA),4938840,Closed,7.71,YYYY-14-DD 12:14:SS,YYYY-13-DD 07:13:SS
EETL65670849991619,2389,Savings account,408715,Frozen,8.45,YYYY-21-DD 04:21:SS,YYYY-47-DD 01:47:SS
GAZF00130218102684,1419,Certificate of deposit (CD),4617615,Active,5.16,YYYY-34-DD 23:34:SS,YYYY-22-DD 00:22:SS
MBWM45917712711848,1569,Checking account,4854433,Frozen,5.1,YYYY-17-DD 08:17:SS,YYYY-45-DD 05:45:SS
KEKK08532280310118,1606,Certificate of deposit (CD),1491748,Closed,5.79,YYYY-44-DD 10:44:SS,YYYY-23-DD 06:23:SS
XMNI24780207886086,1263,Individual retirement arrangement (IRA),2351315,Closed,6.35,YYYY-12-DD 03:12:SS,YYYY-42-DD 03:42:SS
UABE76511194731283,2471,Brokerage account,1561033,Active,7.2,YYYY-22-DD 03:22:SS,YYYY-48-DD 03:48:SS
HJHJ74898828315773,2139,Individual retirement arrangement (IRA),1288933,Active,6.22,YYYY-05-DD 08:05:SS,YYYY-56-DD 05:56:SS
SXPK92778784070774,1628,Individual retirement arrangement (IRA),3885909,Frozen,8.4,YYYY-27-DD 05:27:SS,YYYY-50-DD 08:50:SS
LAAF49496329430767,1053,Certificate of deposit (CD),3912481,Closed,8.26,YYYY-33-DD 00:33:SS,YYYY-22-DD 06:22:SS
EGIK34662028702200,1246,Brokerage account,1460116,Closed,9.9,YYYY-59-DD 01:59:SS,YYYY-30-DD 21:30:SS
WOMQ25770641656036,1462,Brokerage account,4376260,Closed,6.95,YYYY-02-DD 11:02:SS,YYYY-02-DD 11:02:SS
KZMT94637935687759,1822,Savings account,206856,Frozen,5.51,YYYY-26-DD 19:26:SS,YYYY-40-DD 22:40:SS
GIBG03911061264075,1010,Savings account,2333569,Active,7.89,YYYY-22-DD 03:22:SS,YYYY-09-DD 23:09:SS
JYTW89581344091778,1407,Money market account,3722960,Closed,7.99,YYYY-27-DD 16:27:SS,YYYY-48-DD 13:48:SS
FTFI66044322407090,1440,Brokerage account,4400117,Closed,8.45,YYYY-00-DD 10:00:SS,YYYY-02-DD 11:02:SS
KAJU72513333923686,1741,Savings account,3651186,Frozen,8.88,YYYY-00-DD 17:00:SS,YYYY-31-DD 20:31:SS
XGXZ31345774193741,1902,Savings account,2240341,Active,6.83,YYYY-34-DD 14:34:SS,YYYY-21-DD 05:21:SS
NUST27872150086971,1060,Money market account,4777810,Active,5.64,YYYY-45-DD 18:45:SS,YYYY-31-DD 06:31:SS
KJEK18979636383354,2240,Individual retirement arrangement (IRA),1276183,Closed,9.79,YYYY-08-DD 00:08:SS,YYYY-29-DD 09:29:SS
RZVL64992091346580,1457,Individual retirement arrangement (IRA),1612156,Active,8.77,YYYY-40-DD 10:40:SS,YYYY-47-DD 09:47:SS
WLQB12337407510743,1840,Money market account,3041956,Frozen,8.54,YYYY-49-DD 22:49:SS,YYYY-49-DD 01:49:SS
RDXL76392772933463,2182,Checking account,2049854,Active,9.18,YYYY-57-DD 08:57:SS,YYYY-58-DD 06:58:SS
RXNZ95189814250603,1996,Brokerage account,2819132,Frozen,7.92,YYYY-37-DD 01:37:SS,YYYY-13-DD 21:13:SS
YTNH41118913981321,2008,Savings account,818075,Frozen,5.43,YYYY-20-DD 02:20:SS,YYYY-32-DD 00:32:SS
MKSY93442504729618,2030,Savings account,4969484,Closed,9.24,YYYY-31-DD 20:31:SS,YYYY-34-DD 11:34:SS
JHBL00292196641961,2367,Individual retirement arrangement (IRA),4880592,Frozen,9.42,YYYY-53-DD 08:53:SS,YYYY-54-DD 04:54:SS
GAYK33690680082779,2418,Certificate of deposit (CD),3831716,Frozen,7.39,YYYY-09-DD 17:09:SS,YYYY-05-DD 08:05:SS
ISJL82218052261279,2427,Brokerage account,774738,Closed,9.81,YYYY-22-DD 23:22:SS,YYYY-57-DD 05:57:SS
KHDS61658930557709,2138,Savings account,2762474,Frozen,7.37,YYYY-11-DD 13:11:SS,YYYY-27-DD 00:27:SS
DEEG29414222055686,1341,Checking account,3216127,Frozen,5.21,YYYY-58-DD 13:58:SS,YYYY-20-DD 16:20:SS
VZSM74312033479329,2044,Money market account,724569,Active,6.33,YYYY-49-DD 23:49:SS,YYYY-03-DD 14:03:SS
HMGR29940616830431,1001,Savings account,1136595,Closed,5.95,YYYY-19-DD 22:19:SS,YYYY-46-DD 22:46:SS
NAXO79247746149120,1964,Certificate of deposit (CD),1628266,Frozen,6.9,YYYY-01-DD 00:01:SS,YYYY-18-DD 05:18:SS
INOE77044072125995,1126,Individual retirement arrangement (IRA),2125554,Active,5.37,YYYY-07-DD 01:07:SS,YYYY-04-DD 13:04:SS
SUKJ89857481934718,1279,Money market account,791073,Active,5.76,YYYY-46-DD 19:46:SS,YYYY-40-DD 06:40:SS
VGSC19047133192134,2294,Certificate of deposit (CD),3683710,Active,8.26,YYYY-17-DD 22:17:SS,YYYY-08-DD 20:08:SS
JVDZ20426352601153,2421,Individual retirement arrangement (IRA),1772534,Active,9.65,YYYY-50-DD 11:50:SS,YYYY-13-DD 21:13:SS
LTJT90568550858909,2052,Checking account,2117801,Active,8.6,YYYY-20-DD 20:20:SS,YYYY-09-DD 23:09:SS
VDYQ10125607624841,1334,Checking account,2449325,Closed,5.93,YYYY-24-DD 07:24:SS,YYYY-06-DD 22:06:SS
MWZB66299218348442,1613,Checking account,1711552,Active,7.1,YYYY-27-DD 15:27:SS,YYYY-51-DD 12:51:SS
URHB54307115302849,1438,Savings account,2133409,Active,5.65,YYYY-07-DD 01:07:SS,YYYY-52-DD 01:52:SS
LYMM36094632780986,1409,Checking account,4207957,Frozen,8.75,YYYY-04-DD 09:04:SS,YYYY-22-DD 19:22:SS
ZVAC47754179831164,1743,Money market account,3605270,Frozen,5.31,YYYY-48-DD 07:48:SS,YYYY-38-DD 06:38:SS
GTNA67623281244632,1355,Individual retirement arrangement (IRA),2484617,Active,5.4,YYYY-21-DD 20:21:SS,YYYY-04-DD 10:04:SS
VQWB22761222222077,1654,Certificate of deposit (CD),3741226,Frozen,7.3,YYYY-57-DD 07:57:SS,YYYY-49-DD 14:49:SS
ZBIC23579628234119,1323,Savings account,210062,Active,6.47,YYYY-26-DD 17:26:SS,YYYY-11-DD 15:11:SS
MXFB19902517043031,2294,Certificate of deposit (CD),1236275,Active,6.35,YYYY-08-DD 17:08:SS,YYYY-12-DD 07:12:SS
ATHY62472263446167,1643,Individual retirement arrangement (IRA),595098,Frozen,7.57,YYYY-01-DD 01:01:SS,YYYY-09-DD 02:09:SS
RGBN77169588643372,1681,Savings account,845343,Active,7.79,YYYY-46-DD 05:46:SS,YYYY-53-DD 13:53:SS
XRZG07714185000406,1533,Brokerage account,4643129,Frozen,5.48,YYYY-32-DD 20:32:SS,YYYY-50-DD 16:50:SS
ONQN52563461685089,1078,Checking account,3408253,Closed,7.77,YYYY-51-DD 14:51:SS,YYYY-46-DD 11:46:SS
IQQH36026548915322,1124,Individual retirement arrangement (IRA),4520952,Active,8.25,YYYY-44-DD 08:44:SS,YYYY-34-DD 00:34:SS
KDLN50612847567149,1869,Individual retirement arrangement (IRA),491853,Active,8.46,YYYY-13-DD 21:13:SS,YYYY-07-DD 06:07:SS
HXEG86993747510512,1752,Individual retirement arrangement (IRA),341818,Active,7.37,YYYY-35-DD 13:35:SS,YYYY-33-DD 23:33:SS
MMIY98100970772311,1590,Checking account,1744469,Closed,8.14,YYYY-25-DD 02:25:SS,YYYY-05-DD 00:05:SS
ZWFN87465126026310,1970,Certificate of deposit (CD),3472361,Closed,5.15,YYYY-11-DD 03:11:SS,YYYY-19-DD 19:19:SS
PXEO79954093477441,2385,Certificate of deposit (CD),936160,Frozen,8.43,YYYY-28-DD 15:28:SS,YYYY-07-DD 10:07:SS
XHHJ97135527556028,2240,Savings account,3172118,Frozen,8.18,YYYY-29-DD 13:29:SS,YYYY-17-DD 11:17:SS
OIPR05083594547552,1615,Individual retirement arrangement (IRA),2442128,Closed,8.29,YYYY-00-DD 11:00:SS,YYYY-46-DD 13:46:SS
AFCR86881068857444,1517,Money market account,3671340,Closed,7.51,YYYY-10-DD 19:10:SS,YYYY-47-DD 02:47:SS
RKXW72644265267894,2350,Money market account,941980,Frozen,6.4,YYYY-55-DD 10:55:SS,YYYY-28-DD 16:28:SS
YANG29243742372512,1470,Certificate of deposit (CD),1009596,Closed,6.51,YYYY-20-DD 13:20:SS,YYYY-32-DD 16:32:SS
OWOP89431998748487,1685,Brokerage account,3507657,Frozen,8.89,YYYY-09-DD 08:09:SS,YYYY-35-DD 22:35:SS
KFRU93350377658103,1884,Brokerage account,3553238,Closed,8.84,YYYY-37-DD 04:37:SS,YYYY-53-DD 05:53:SS
JMKW44801611764962,1782,Certificate of deposit (CD),1854261,Frozen,6.55,YYYY-00-DD 08:00:SS,YYYY-00-DD 08:00:SS
QLQX08809634208128,1699,Money market account,1756950,Frozen,6.53,YYYY-24-DD 16:24:SS,YYYY-18-DD 08:18:SS
XHYM57796744409013,1575,Brokerage account,175176,Closed,7.26,YYYY-13-DD 22:13:SS,YYYY-09-DD 04:09:SS
OYLM35904772717846,2321,Checking account,2404414,Active,7.28,YYYY-10-DD 02:10:SS,YYYY-23-DD 12:23:SS
OZYM76898547147070,1062,Individual retirement arrangement (IRA),2970059,Closed,7.99,YYYY-29-DD 05:29:SS,YYYY-18-DD 22:18:SS
KWQP80991776726644,1372,Brokerage account,1704697,Active,9.67,YYYY-56-DD 02:56:SS,YYYY-57-DD 20:57:SS
DXPN37153685416409,2365,Certificate of deposit (CD),625702,Closed,8.92,YYYY-58-DD 19:58:SS,YYYY-13-DD 11:13:SS
BTRP20299384897375,1912,Checking account,2666040,Closed,8.95,YYYY-57-DD 09:57:SS,YYYY-56-DD 11:56:SS
XNLP88651342492990,2395,Savings account,3188916,Closed,7.21,YYYY-31-DD 06:31:SS,YYYY-02-DD 10:02:SS
SNWQ37917410527283,1435,Savings account,1884317,Active,9.21,YYYY-00-DD 02:00:SS,YYYY-43-DD 00:43:SS
YGUF96725303936934,1008,Individual retirement arrangement (IRA),4766130,Active,5.29,YYYY-55-DD 13:55:SS,YYYY-15-DD 16:15:SS
BJWQ10214556609606,2051,Brokerage account,4969865,Active,9.41,YYYY-18-DD 03:18:SS,YYYY-56-DD 06:56:SS
ESQY55855929078712,1337,Certificate of deposit (CD),4820840,Closed,6.78,YYYY-31-DD 08:31:SS,YYYY-01-DD 10:01:SS
NTUC10141619063811,1870,Checking account,2079728,Closed,8.6,YYYY-35-DD 12:35:SS,YYYY-16-DD 20:16:SS
DERM45935337515166,2480,Savings account,2211623,Closed,7.49,YYYY-13-DD 04:13:SS,YYYY-14-DD 19:14:SS
WQQL32580056126018,2341,Individual retirement arrangement (IRA),1756461,Active,6.24,YYYY-24-DD 10:24:SS,YYYY-18-DD 12:18:SS
IQGD71503759513647,1248,Money market account,2772076,Frozen,8.64,YYYY-33-DD 01:33:SS,YYYY-11-DD 20:11:SS
XTZB11572264367376,2221,Individual retirement arrangement (IRA),201941,Closed,6.88,YYYY-54-DD 12:54:SS,YYYY-43-DD 21:43:SS
NHSO57820234980935,2066,Individual retirement arrangement (IRA),4365201,Active,8.84,YYYY-52-DD 17:52:SS,YYYY-05-DD 21:05:SS
ACQX47269029990809,2366,Checking account,1202973,Active,5.29,YYYY-32-DD 00:32:SS,YYYY-40-DD 04:40:SS
KTQZ43087590224943,1080,Individual retirement arrangement (IRA),1343778,Closed,9.9,YYYY-38-DD 18:38:SS,YYYY-56-DD 04:56:SS
QOAU72842782390166,1718,Certificate of deposit (CD),710083,Frozen,5.71,YYYY-00-DD 20:00:SS,YYYY-20-DD 03:20:SS
GIAW37618838951800,1463,Individual retirement arrangement (IRA),2553161,Frozen,6.29,YYYY-56-DD 16:56:SS,YYYY-16-DD 22:16:SS
EQYA99585236720153,1034,Certificate of deposit (CD),1177168,Active,5.58,YYYY-18-DD 19:18:SS,YYYY-38-DD 04:38:SS
VUCA01395663253395,2355,Savings account,4664404,Closed,9.23,YYYY-48-DD 13:48:SS,YYYY-49-DD 23:49:SS
YPXN00163896399554,1841,Savings account,2913136,Active,9.18,YYYY-56-DD 19:56:SS,YYYY-01-DD 15:01:SS
AXBB61706189180474,1257,Savings account,1288130,Frozen,7.62,YYYY-46-DD 03:46:SS,YYYY-08-DD 20:08:SS
CBKU18357128908280,1383,Checking account,300818,Frozen,8.99,YYYY-40-DD 14:40:SS,YYYY-02-DD 14:02:SS
MIXF24931679235332,2007,Individual retirement arrangement (IRA),3165344,Frozen,9.5,YYYY-14-DD 18:14:SS,YYYY-40-DD 00:40:SS
TKTU62805142201482,2425,Money market account,2181261,Closed,6.71,YYYY-33-DD 06:33:SS,YYYY-13-DD 21:13:SS
GTNK56851025740255,2400,Individual retirement arrangement (IRA),2055411,Closed,7.83,YYYY-22-DD 12:22:SS,YYYY-36-DD 03:36:SS
KFPS45653540481946,1795,Individual retirement arrangement (IRA),3548807,Active,7,YYYY-00-DD 07:00:SS,YYYY-00-DD 01:00:SS
CXGN75227972121649,1408,Checking account,1100584,Closed,5.4,YYYY-18-DD 08:18:SS,YYYY-15-DD 00:15:SS
BFIH12497832358127,2240,Checking account,341969,Frozen,7.32,YYYY-31-DD 19:31:SS,YYYY-05-DD 12:05:SS
QCNS33153896022470,1938,Certificate of deposit (CD),4994581,Frozen,9.93,YYYY-52-DD 01:52:SS,YYYY-53-DD 21:53:SS
QMYY85723740298745,2495,Brokerage account,4811170,Active,6.69,YYYY-32-DD 03:32:SS,YYYY-45-DD 20:45:SS
EGXB93933524813229,1599,Certificate of deposit (CD),844961,Frozen,6.22,YYYY-26-DD 15:26:SS,YYYY-43-DD 08:43:SS
