INVESTMENTACCOUNTID,CUSTOMERID,ACCOUNTTYPE,INVESTMENTSTATUS,INVESTMENTSTARTDATE,INVESTMENTENDDATE,RETURNS,INVESTMENTPORTFOLIO
DVNE95149330639412,1911,Stocks,Active,YYYY-41-DD 20:41:SS,YYYY-40-DD 09:40:SS,6.1,77717214
SKZO12045958404781,2176,Stocks,Active,YYYY-43-DD 02:43:SS,YYYY-15-DD 23:15:SS,16.8,87968231
EDQI48803261170666,2200,Mutual Funds,Closed,YYYY-36-DD 01:36:SS,YYYY-21-DD 19:21:SS,14.44,26175867
YKMQ40184147814864,1466,Fixed Deposits,Closed,YYYY-11-DD 18:11:SS,YYYY-18-DD 20:18:SS,5.98,76197994
XZBR49321433838530,1858,Fixed Deposits,Active,YYYY-01-DD 09:01:SS,YYYY-50-DD 19:50:SS,5.95,53043634
VHLT24776685873706,1103,Stocks,Active,YYYY-13-DD 05:13:SS,YYYY-43-DD 10:43:SS,14.18,59329152
XMON45441099435655,1292,Fixed Deposits,Active,YYYY-37-DD 15:37:SS,YYYY-30-DD 14:30:SS,14.29,28689171
EQAR05316805651925,1072,Fixed Deposits,Closed,YYYY-27-DD 01:27:SS,YYYY-19-DD 13:19:SS,17.3,17051804
IOKG12391306060011,2014,Fixed Deposits,Closed,YYYY-17-DD 19:17:SS,YYYY-04-DD 04:04:SS,18.84,81617524
TVLK67355683720538,1722,Stocks,Closed,YYYY-46-DD 21:46:SS,YYYY-31-DD 09:31:SS,15.25,40811352
GYAC67128783878991,2275,Stocks,Active,YYYY-20-DD 15:20:SS,YYYY-25-DD 10:25:SS,10.89,35004998
HYLY08481541612826,2011,Mutual Funds,Active,YYYY-31-DD 08:31:SS,YYYY-35-DD 20:35:SS,16.8,21163302
WRMD15738854444370,2259,Mutual Funds,Active,YYYY-22-DD 14:22:SS,YYYY-22-DD 14:22:SS,11.15,08857149
IAHS39455782389637,1434,Stocks,Active,YYYY-32-DD 21:32:SS,YYYY-32-DD 21:32:SS,13.35,59649632
SBLY28134245275738,1882,Stocks,Active,YYYY-20-DD 12:20:SS,YYYY-06-DD 19:06:SS,15.2,96579275
TRDE25865740146684,1925,Mutual Funds,Active,YYYY-20-DD 08:20:SS,YYYY-00-DD 12:00:SS,12.21,58873243
EDQP91017025989801,2241,Mutual Funds,Active,YYYY-30-DD 16:30:SS,YYYY-03-DD 02:03:SS,6.35,44838539
UANT50554410431011,1710,Stocks,Active,YYYY-49-DD 11:49:SS,YYYY-51-DD 23:51:SS,13.66,42370116
RBRH49588356080041,2212,Stocks,Closed,YYYY-14-DD 16:14:SS,YYYY-48-DD 20:48:SS,12.62,09078697
YEWS57683595573201,1188,Stocks,Closed,YYYY-14-DD 05:14:SS,YYYY-11-DD 02:11:SS,17.91,42372530
GTHW55215533770805,2495,Mutual Funds,Closed,YYYY-59-DD 21:59:SS,YYYY-11-DD 05:11:SS,14.66,51067106
PHVQ73836764627313,1503,Stocks,Closed,YYYY-09-DD 04:09:SS,YYYY-09-DD 04:09:SS,8.8,13590796
CKEI79268649911512,2411,Mutual Funds,Active,YYYY-28-DD 01:28:SS,YYYY-16-DD 14:16:SS,10.32,63676297
ZEFL57145849472861,2496,Stocks,Closed,YYYY-12-DD 02:12:SS,YYYY-03-DD 10:03:SS,7.82,98284641
DYWU91883448954448,1224,Mutual Funds,Active,YYYY-38-DD 16:38:SS,YYYY-40-DD 18:40:SS,6.85,29576197
UHZT49589243972058,1818,Fixed Deposits,Active,YYYY-29-DD 03:29:SS,YYYY-34-DD 13:34:SS,16.36,74707744
MQJQ57633532489772,1998,Fixed Deposits,Active,YYYY-43-DD 05:43:SS,YYYY-12-DD 10:12:SS,5.28,59215219
WGWE62492710147539,1821,Stocks,Closed,YYYY-38-DD 19:38:SS,YYYY-55-DD 14:55:SS,11.81,34979341
MDKX37460780466990,1851,Fixed Deposits,Closed,YYYY-31-DD 20:31:SS,YYYY-22-DD 22:22:SS,12.81,53241023
MKPY16332117766519,1892,Stocks,Closed,YYYY-47-DD 12:47:SS,YYYY-23-DD 21:23:SS,16.96,27673874
FXTV88505217038607,1530,Mutual Funds,Active,YYYY-49-DD 22:49:SS,YYYY-28-DD 20:28:SS,10.8,21588075
IIDT65997333507765,2165,Stocks,Active,YYYY-40-DD 04:40:SS,YYYY-31-DD 09:31:SS,5.27,32552874
PWVK27777408387530,2158,Fixed Deposits,Active,YYYY-16-DD 11:16:SS,YYYY-41-DD 11:41:SS,7.49,82570293
ZNDS58360347263021,1708,Fixed Deposits,Closed,YYYY-26-DD 18:26:SS,YYYY-49-DD 19:49:SS,13.8,02421391
YQEO65857669057212,2478,Mutual Funds,Closed,YYYY-24-DD 18:24:SS,YYYY-35-DD 23:35:SS,18.36,46999320
OJYI13022913551198,2032,Stocks,Closed,YYYY-18-DD 14:18:SS,YYYY-19-DD 02:19:SS,7.88,17329880
MCTX55027176390468,2461,Mutual Funds,Active,YYYY-22-DD 23:22:SS,YYYY-22-DD 23:22:SS,19.88,55494250
QBTO33354230308237,1151,Mutual Funds,Active,YYYY-26-DD 19:26:SS,YYYY-07-DD 01:07:SS,16.14,29688715
ZUHJ09431542615268,2101,Stocks,Closed,YYYY-53-DD 22:53:SS,YYYY-35-DD 15:35:SS,18.51,40864686
RHFX07968918759228,1813,Stocks,Active,YYYY-45-DD 18:45:SS,YYYY-56-DD 00:56:SS,13.47,76461187
RUQQ59809129808691,2365,Mutual Funds,Closed,YYYY-21-DD 07:21:SS,YYYY-22-DD 15:22:SS,14.18,58558010
YXQA18638021819259,1174,Mutual Funds,Closed,YYYY-44-DD 06:44:SS,YYYY-11-DD 17:11:SS,10.34,09627345
ELTA68115954151147,2258,Stocks,Closed,YYYY-34-DD 13:34:SS,YYYY-34-DD 13:34:SS,8.27,96760406
XNZZ27212282234953,2244,Fixed Deposits,Closed,YYYY-34-DD 18:34:SS,YYYY-11-DD 12:11:SS,15.36,72900796
MENP01269277485155,1508,Fixed Deposits,Active,YYYY-26-DD 17:26:SS,YYYY-26-DD 17:26:SS,19.94,40274539
DBNZ78849170665066,2436,Stocks,Active,YYYY-21-DD 19:21:SS,YYYY-23-DD 07:23:SS,15.38,28063766
EENY76459624621883,1801,Fixed Deposits,Closed,YYYY-26-DD 01:26:SS,YYYY-10-DD 22:10:SS,13.15,53884763
RIKD32117612103254,1224,Stocks,Active,YYYY-14-DD 19:14:SS,YYYY-51-DD 22:51:SS,11.15,90466465
QOKC03974330691294,2443,Fixed Deposits,Closed,YYYY-04-DD 22:04:SS,YYYY-59-DD 03:59:SS,16.22,38500435
YAYC83712484130433,1810,Fixed Deposits,Active,YYYY-17-DD 06:17:SS,YYYY-04-DD 13:04:SS,19.87,71755007
WWVU56471333087020,1061,Fixed Deposits,Closed,YYYY-36-DD 11:36:SS,YYYY-47-DD 14:47:SS,10.93,06968908
CGTH86872332786541,1489,Stocks,Active,YYYY-15-DD 23:15:SS,YYYY-09-DD 11:09:SS,19.51,39760258
ODEL22453085365339,2236,Stocks,Active,YYYY-20-DD 02:20:SS,YYYY-29-DD 13:29:SS,6.6,71761077
JXAK39442266750797,2036,Fixed Deposits,Active,YYYY-19-DD 07:19:SS,YYYY-57-DD 15:57:SS,18.84,87545210
BSMH85572384731420,2023,Fixed Deposits,Closed,YYYY-26-DD 13:26:SS,YYYY-55-DD 05:55:SS,11.27,89511640
ALIB02176949232363,2308,Fixed Deposits,Closed,YYYY-55-DD 13:55:SS,YYYY-09-DD 08:09:SS,15.69,61599529
PDZY09824088291044,2174,Stocks,Active,YYYY-02-DD 23:02:SS,YYYY-02-DD 23:02:SS,12.78,20448219
RUGI82423352473082,2341,Stocks,Closed,YYYY-56-DD 21:56:SS,YYYY-39-DD 01:39:SS,10.12,05538034
UWNE38063992505211,1553,Mutual Funds,Active,YYYY-58-DD 12:58:SS,YYYY-58-DD 02:58:SS,12.22,49216127
BYSS46582878828472,2353,Fixed Deposits,Active,YYYY-55-DD 11:55:SS,YYYY-49-DD 13:49:SS,10.3,77295897
OYJY69364577835702,1547,Mutual Funds,Closed,YYYY-53-DD 12:53:SS,YYYY-04-DD 15:04:SS,6.6,18146455
IOLN76951900278381,1311,Mutual Funds,Active,YYYY-11-DD 05:11:SS,YYYY-54-DD 12:54:SS,17.45,06678227
QKUV37004536818630,2499,Fixed Deposits,Closed,YYYY-12-DD 08:12:SS,YYYY-16-DD 07:16:SS,13.53,77630964
PLJP55785332474337,1290,Stocks,Closed,YYYY-06-DD 02:06:SS,YYYY-02-DD 11:02:SS,13.46,07099052
LWPR22749146026855,1565,Stocks,Closed,YYYY-00-DD 16:00:SS,YYYY-50-DD 06:50:SS,9.24,09666634
ITPL72502281882240,1525,Fixed Deposits,Active,YYYY-03-DD 05:03:SS,YYYY-35-DD 20:35:SS,16.8,83055485
IDPW37346664535905,2490,Stocks,Closed,YYYY-11-DD 01:11:SS,YYYY-15-DD 04:15:SS,6.79,60391742
GWGM00211069434245,1479,Stocks,Closed,YYYY-15-DD 21:15:SS,YYYY-15-DD 13:15:SS,16.82,18058475
WWDA38631087624024,1386,Stocks,Closed,YYYY-02-DD 04:02:SS,YYYY-43-DD 01:43:SS,16.52,45152016
QYHE36531939383443,2162,Mutual Funds,Closed,YYYY-02-DD 05:02:SS,YYYY-01-DD 13:01:SS,12.25,29977284
PYFM55315932263359,2058,Stocks,Closed,YYYY-34-DD 13:34:SS,YYYY-35-DD 02:35:SS,12.4,15058232
YVNE21031273794895,1189,Stocks,Closed,YYYY-06-DD 17:06:SS,YYYY-33-DD 22:33:SS,17.81,23795877
EJRP43207122561047,1733,Mutual Funds,Closed,YYYY-46-DD 15:46:SS,YYYY-46-DD 15:46:SS,7.54,31606431
QBNA53414616087368,1735,Fixed Deposits,Active,YYYY-21-DD 01:21:SS,YYYY-11-DD 09:11:SS,13.4,83783470
GEPF89353910390885,2148,Stocks,Closed,YYYY-57-DD 02:57:SS,YYYY-54-DD 13:54:SS,18.67,94140354
MAPX23586234422960,2488,Stocks,Closed,YYYY-06-DD 14:06:SS,YYYY-10-DD 01:10:SS,7.47,09873391
QRJF62052662028046,1593,Stocks,Active,YYYY-31-DD 01:31:SS,YYYY-22-DD 18:22:SS,6.2,34508619
RDFH81699914190025,1082,Stocks,Closed,YYYY-13-DD 01:13:SS,YYYY-45-DD 15:45:SS,10.9,34402771
ZNST76706044452054,1430,Fixed Deposits,Closed,YYYY-50-DD 05:50:SS,YYYY-50-DD 05:50:SS,9.81,22259493
CSQI75170226118810,2422,Stocks,Closed,YYYY-30-DD 04:30:SS,YYYY-00-DD 03:00:SS,19.46,15361707
AUQB28389971953094,1343,Mutual Funds,Closed,YYYY-19-DD 10:19:SS,YYYY-58-DD 05:58:SS,7.28,95129914
UHHW98623009297373,2102,Stocks,Active,YYYY-31-DD 15:31:SS,YYYY-38-DD 17:38:SS,9.51,43378807
IAPM55164901606993,1129,Stocks,Active,YYYY-39-DD 11:39:SS,YYYY-21-DD 19:21:SS,13.4,30137868
IOLC66667732600045,1240,Stocks,Active,YYYY-12-DD 16:12:SS,YYYY-30-DD 12:30:SS,17.41,70313543
XOOF81941918654432,2472,Fixed Deposits,Active,YYYY-53-DD 18:53:SS,YYYY-00-DD 14:00:SS,12.98,30908512
SOVI57967092082951,1812,Stocks,Closed,YYYY-14-DD 20:14:SS,YYYY-14-DD 20:14:SS,16.15,54396128
OYJX33946063373845,2350,Mutual Funds,Closed,YYYY-52-DD 19:52:SS,YYYY-31-DD 04:31:SS,5.1,90033230
FCTM02279650430716,2193,Fixed Deposits,Active,YYYY-23-DD 01:23:SS,YYYY-41-DD 11:41:SS,10.7,75103637
KEQM08750271390788,1725,Fixed Deposits,Closed,YYYY-18-DD 10:18:SS,YYYY-37-DD 23:37:SS,12.59,35308805
DPBY90155146203360,1829,Fixed Deposits,Active,YYYY-54-DD 07:54:SS,YYYY-41-DD 19:41:SS,12.32,72902172
IHNP38536992332014,2200,Stocks,Active,YYYY-10-DD 12:10:SS,YYYY-43-DD 22:43:SS,17.87,00802819
DNYE27470550069448,1369,Mutual Funds,Active,YYYY-43-DD 04:43:SS,YYYY-43-DD 04:43:SS,14.2,23207448
ZUNH88172183719804,1760,Stocks,Active,YYYY-55-DD 01:55:SS,YYYY-34-DD 22:34:SS,16.5,94505832
PMWN09449998768107,1688,Stocks,Active,YYYY-26-DD 14:26:SS,YYYY-09-DD 18:09:SS,5.46,96665947
EGST33622667348323,2161,Fixed Deposits,Closed,YYYY-59-DD 18:59:SS,YYYY-23-DD 02:23:SS,15.16,15988430
QJZJ66388590979483,1921,Stocks,Closed,YYYY-46-DD 07:46:SS,YYYY-46-DD 07:46:SS,17.17,34633564
DQQI08472205314639,1591,Mutual Funds,Closed,YYYY-20-DD 01:20:SS,YYYY-20-DD 01:20:SS,16.87,72742334
KTSR45427706200315,1710,Fixed Deposits,Active,YYYY-16-DD 00:16:SS,YYYY-16-DD 00:16:SS,10.81,54767652
REJL84373123465951,1844,Stocks,Active,YYYY-57-DD 22:57:SS,YYYY-34-DD 22:34:SS,16.71,75801335
SLGB26459540128420,1606,Stocks,Active,YYYY-09-DD 00:09:SS,YYYY-15-DD 08:15:SS,13.82,06003999
HOCS65822419358818,2322,Stocks,Active,YYYY-35-DD 15:35:SS,YYYY-35-DD 20:35:SS,8.28,69369902
BRMV29984667998394,1140,Mutual Funds,Active,YYYY-28-DD 17:28:SS,YYYY-21-DD 16:21:SS,12.73,82565251
AZTQ59363961335798,1187,Stocks,Active,YYYY-46-DD 14:46:SS,YYYY-22-DD 09:22:SS,19.68,71554051
EWCL90832985548814,2322,Stocks,Active,YYYY-44-DD 21:44:SS,YYYY-13-DD 05:13:SS,5.46,22194381
NRDB87006144592458,2230,Fixed Deposits,Closed,YYYY-46-DD 06:46:SS,YYYY-32-DD 13:32:SS,15.74,06807320
RUNX75647982535017,2258,Fixed Deposits,Closed,YYYY-05-DD 18:05:SS,YYYY-33-DD 22:33:SS,17.58,59036159
TRUC44606792199526,2425,Stocks,Active,YYYY-05-DD 10:05:SS,YYYY-58-DD 03:58:SS,17.67,82270032
LXAT41297209891666,2260,Mutual Funds,Active,YYYY-21-DD 15:21:SS,YYYY-21-DD 15:21:SS,14.14,65657638
DRIP37211399872217,1786,Mutual Funds,Active,YYYY-58-DD 10:58:SS,YYYY-09-DD 11:09:SS,10.91,03575598
VDGF10433070361857,1576,Stocks,Closed,YYYY-45-DD 05:45:SS,YYYY-22-DD 17:22:SS,15.34,29946440
OACT64490586658464,1024,Mutual Funds,Closed,YYYY-11-DD 11:11:SS,YYYY-11-DD 11:11:SS,8.17,55185356
RQKA35588011806858,1899,Mutual Funds,Closed,YYYY-05-DD 04:05:SS,YYYY-30-DD 16:30:SS,10.82,90119125
VRUC19303852850980,1690,Stocks,Closed,YYYY-48-DD 17:48:SS,YYYY-42-DD 16:42:SS,7.47,52491993
PQQT09275803711946,1835,Mutual Funds,Closed,YYYY-56-DD 23:56:SS,YYYY-24-DD 04:24:SS,7.81,56968446
CUMP30797612563547,1441,Stocks,Closed,YYYY-41-DD 09:41:SS,YYYY-44-DD 00:44:SS,13.49,27001363
ENQY53900478124876,1155,Fixed Deposits,Closed,YYYY-38-DD 21:38:SS,YYYY-09-DD 04:09:SS,13.17,06269265
CTNK61108695514725,1891,Mutual Funds,Active,YYYY-04-DD 15:04:SS,YYYY-04-DD 15:04:SS,11.21,13623708
HFNW88810506698380,2418,Mutual Funds,Active,YYYY-27-DD 10:27:SS,YYYY-47-DD 00:47:SS,14.4,18014983
IADY88865060559953,1800,Mutual Funds,Closed,YYYY-58-DD 21:58:SS,YYYY-55-DD 21:55:SS,13.6,57666938
FHAR28991533991783,2473,Fixed Deposits,Active,YYYY-28-DD 04:28:SS,YYYY-15-DD 16:15:SS,9.53,60708786
FGOC97573082880014,1612,Fixed Deposits,Active,YYYY-17-DD 00:17:SS,YYYY-31-DD 07:31:SS,8.14,56093780
NTZA28619387618412,1060,Stocks,Closed,YYYY-16-DD 15:16:SS,YYYY-50-DD 11:50:SS,14.56,03414910
QKFJ62758840795813,1322,Stocks,Active,YYYY-23-DD 09:23:SS,YYYY-18-DD 02:18:SS,12.36,06964160
ROAA12423038566137,1020,Stocks,Closed,YYYY-38-DD 12:38:SS,YYYY-11-DD 11:11:SS,16.59,07331060
QFJS48087979075264,1003,Stocks,Closed,YYYY-56-DD 14:56:SS,YYYY-41-DD 01:41:SS,17.69,45200021
FUGP98750565854101,1222,Fixed Deposits,Closed,YYYY-43-DD 17:43:SS,YYYY-20-DD 04:20:SS,19.8,70622706
ZSFU69914866936527,1585,Mutual Funds,Closed,YYYY-52-DD 18:52:SS,YYYY-40-DD 23:40:SS,6.79,72776179
HKGP65523214207119,1702,Mutual Funds,Closed,YYYY-46-DD 07:46:SS,YYYY-00-DD 15:00:SS,12.66,11399995
YTZL06623018790800,1164,Stocks,Active,YYYY-09-DD 17:09:SS,YYYY-41-DD 01:41:SS,19.7,27919422
YMBR60445498765576,2500,Stocks,Active,YYYY-40-DD 05:40:SS,YYYY-20-DD 08:20:SS,19.5,04829003
NTPB67286748127981,1090,Fixed Deposits,Active,YYYY-34-DD 01:34:SS,YYYY-56-DD 15:56:SS,11.13,89541531
HCHJ56713549639947,1618,Fixed Deposits,Active,YYYY-02-DD 16:02:SS,YYYY-02-DD 16:02:SS,8.65,59516712
ESRM99751469777180,2422,Mutual Funds,Active,YYYY-04-DD 07:04:SS,YYYY-25-DD 00:25:SS,5.2,23729650
NNFM22617440939144,1042,Mutual Funds,Active,YYYY-04-DD 07:04:SS,YYYY-49-DD 10:49:SS,14.61,99563165
JHWR99428587689104,2371,Stocks,Active,YYYY-05-DD 15:05:SS,YYYY-10-DD 11:10:SS,18.96,62800044
UQBX22678681005602,1123,Stocks,Closed,YYYY-58-DD 07:58:SS,YYYY-56-DD 18:56:SS,11.15,00460460
INOK16085509886221,1359,Fixed Deposits,Active,YYYY-21-DD 17:21:SS,YYYY-21-DD 18:21:SS,11.98,66621157
PWAU06055055395282,1075,Mutual Funds,Closed,YYYY-18-DD 13:18:SS,YYYY-15-DD 17:15:SS,18.45,39058201
WNFR47846002554899,1704,Mutual Funds,Active,YYYY-43-DD 11:43:SS,YYYY-43-DD 11:43:SS,18.7,50493104
JQMC79114392338826,1356,Fixed Deposits,Closed,YYYY-59-DD 04:59:SS,YYYY-25-DD 21:25:SS,8.56,15649423
EUZF84318296393747,1421,Fixed Deposits,Active,YYYY-34-DD 22:34:SS,YYYY-08-DD 12:08:SS,11.78,33138343
DMAT24312684490563,1537,Mutual Funds,Active,YYYY-08-DD 09:08:SS,YYYY-15-DD 00:15:SS,19.33,52587405
ZXFM55667283468310,2075,Stocks,Active,YYYY-52-DD 05:52:SS,YYYY-59-DD 12:59:SS,12.49,06584320
ONCL85095794162154,1187,Mutual Funds,Closed,YYYY-42-DD 11:42:SS,YYYY-37-DD 03:37:SS,12.83,45385797
OKIY48826572372066,1175,Mutual Funds,Closed,YYYY-33-DD 18:33:SS,YYYY-12-DD 15:12:SS,14.26,70018981
ZXBC82884832429169,1154,Stocks,Active,YYYY-26-DD 04:26:SS,YYYY-26-DD 04:26:SS,6.54,28728900
RGHT25032479276645,1399,Mutual Funds,Active,YYYY-58-DD 03:58:SS,YYYY-22-DD 06:22:SS,14.35,19022826
BLWE48375404351568,1030,Fixed Deposits,Closed,YYYY-39-DD 17:39:SS,YYYY-26-DD 11:26:SS,15.4,52313233
ODMS56787743361068,1247,Stocks,Closed,YYYY-40-DD 12:40:SS,YYYY-26-DD 14:26:SS,7.13,94640502
XDHC68705764855910,2213,Stocks,Active,YYYY-11-DD 13:11:SS,YYYY-01-DD 15:01:SS,15.6,09734159
QTMF67066168561211,1286,Mutual Funds,Active,YYYY-37-DD 23:37:SS,YYYY-17-DD 23:17:SS,18.22,14207419
ACTM90739393490718,1388,Mutual Funds,Active,YYYY-24-DD 08:24:SS,YYYY-42-DD 13:42:SS,5.22,56847475
YXDO51017986660269,1907,Mutual Funds,Active,YYYY-47-DD 01:47:SS,YYYY-47-DD 01:47:SS,8.6,89677490
WUFS94207643058505,2273,Fixed Deposits,Closed,YYYY-50-DD 08:50:SS,YYYY-25-DD 13:25:SS,12.39,53412553
NIBW30034776159329,1893,Fixed Deposits,Active,YYYY-59-DD 15:59:SS,YYYY-42-DD 20:42:SS,17.18,78257320
JAJN15865803870659,1793,Stocks,Active,YYYY-26-DD 03:26:SS,YYYY-19-DD 18:19:SS,18.31,05611546
BAXG28949329417875,1596,Stocks,Active,YYYY-02-DD 02:02:SS,YYYY-48-DD 15:48:SS,8.49,53494047
HASZ91557798589889,2106,Mutual Funds,Closed,YYYY-53-DD 08:53:SS,YYYY-17-DD 14:17:SS,13.9,97468844
RSAY12472920568542,1077,Mutual Funds,Closed,YYYY-41-DD 03:41:SS,YYYY-31-DD 17:31:SS,19.46,59084914
QBAG84627579100732,1211,Stocks,Closed,YYYY-47-DD 04:47:SS,YYYY-43-DD 15:43:SS,10.92,54312951
KLHK66282517548126,2009,Stocks,Active,YYYY-39-DD 20:39:SS,YYYY-15-DD 02:15:SS,15.2,76721304
MRUC90297196180399,1367,Fixed Deposits,Active,YYYY-41-DD 15:41:SS,YYYY-08-DD 09:08:SS,14.9,78557857
MKVX34642650764713,1131,Fixed Deposits,Closed,YYYY-48-DD 09:48:SS,YYYY-48-DD 09:48:SS,11.26,70161571
TWHF66260111350834,1414,Fixed Deposits,Active,YYYY-58-DD 09:58:SS,YYYY-00-DD 13:00:SS,16.63,40919690
RAHX68103911110092,2178,Mutual Funds,Active,YYYY-02-DD 05:02:SS,YYYY-44-DD 14:44:SS,8.97,66996019
NCYA63839911347090,1402,Mutual Funds,Active,YYYY-18-DD 15:18:SS,YYYY-52-DD 08:52:SS,6.63,15907479
BDKA81240590207292,1678,Mutual Funds,Active,YYYY-00-DD 16:00:SS,YYYY-06-DD 17:06:SS,10.6,53143938
WGXM33982760077673,1005,Mutual Funds,Active,YYYY-09-DD 06:09:SS,YYYY-09-DD 06:09:SS,14.97,26896199
ZWYL54338960744525,2258,Fixed Deposits,Closed,YYYY-43-DD 00:43:SS,YYYY-40-DD 17:40:SS,9.32,74921980
ONSQ24952173517384,1279,Mutual Funds,Closed,YYYY-39-DD 19:39:SS,YYYY-37-DD 07:37:SS,16.67,42727422
UUWA39703011675686,1838,Stocks,Closed,YYYY-54-DD 15:54:SS,YYYY-30-DD 11:30:SS,10.56,44276935
RYLU47213330206596,1567,Stocks,Closed,YYYY-03-DD 19:03:SS,YYYY-03-DD 03:03:SS,16.88,95223889
TTOO22397973218092,2107,Fixed Deposits,Closed,YYYY-22-DD 09:22:SS,YYYY-23-DD 13:23:SS,12.6,35013297
OPSG16008887049621,1512,Mutual Funds,Closed,YYYY-16-DD 12:16:SS,YYYY-35-DD 18:35:SS,19.22,67855797
PHDF32807839409340,2239,Mutual Funds,Closed,YYYY-29-DD 12:29:SS,YYYY-24-DD 14:24:SS,8.69,19174174
YCLP07660805086462,1001,Fixed Deposits,Active,YYYY-13-DD 09:13:SS,YYYY-16-DD 14:16:SS,11.6,27218082
KAKK19953747654475,1714,Mutual Funds,Active,YYYY-38-DD 23:38:SS,YYYY-20-DD 21:20:SS,19.72,63041774
VIUK84323860844567,1541,Stocks,Closed,YYYY-03-DD 20:03:SS,YYYY-19-DD 18:19:SS,11.69,54441781
WDCG02112154842857,1078,Fixed Deposits,Closed,YYYY-10-DD 09:10:SS,YYYY-14-DD 03:14:SS,13.24,36892617
XTFP26778511636466,1854,Fixed Deposits,Active,YYYY-20-DD 16:20:SS,YYYY-03-DD 00:03:SS,5.15,94402810
JNWR93505299265151,1149,Mutual Funds,Closed,YYYY-49-DD 22:49:SS,YYYY-31-DD 07:31:SS,5.74,09938724
LGUX21835310251146,1326,Fixed Deposits,Active,YYYY-34-DD 00:34:SS,YYYY-54-DD 15:54:SS,10.74,83904769
ZKJM67781252363322,1231,Mutual Funds,Closed,YYYY-21-DD 08:21:SS,YYYY-46-DD 11:46:SS,13.97,83270086
HHWK78993572985070,1268,Stocks,Active,YYYY-02-DD 22:02:SS,YYYY-10-DD 11:10:SS,12.66,83168529
SVLG73959650150423,1732,Stocks,Closed,YYYY-31-DD 23:31:SS,YYYY-36-DD 16:36:SS,9.74,70083309
TAGE82155998646705,1134,Fixed Deposits,Active,YYYY-46-DD 04:46:SS,YYYY-24-DD 12:24:SS,12.43,96025741
CCZJ97631132086869,2467,Fixed Deposits,Active,YYYY-55-DD 18:55:SS,YYYY-47-DD 01:47:SS,18.46,50537860
GAFC87099668063558,1937,Stocks,Closed,YYYY-57-DD 02:57:SS,YYYY-28-DD 15:28:SS,7.37,40049359
