TRANSACTIONID,ACCOUNTID,TRANSACTIONTYPE,AMOUNT,TRANSACTIONDATE,TRANSACTIONSTATUS
10046,SHLI33803765934861,Checks,24598,YYYY-45-DD 19:45:SS,Failed
10047,KWKR13364230996223,Withdrawal,16834,YYYY-27-DD 10:27:SS,Completed
10048,GYZI35314985024568,Withdrawal,8732,YYYY-40-DD 02:40:SS,Completed
10049,ABHG55093006586696,Online Payments,1329,YYYY-41-DD 04:41:SS,Pending
10050,CEIF20812862536295,Deposit,33032,YYYY-57-DD 17:57:SS,Pending
10051,VKYE58076800528111,Deposit,35348,YYYY-40-DD 23:40:SS,Completed
10052,CWRF00459514785151,Deposit,29900,YYYY-08-DD 15:08:SS,Completed
10053,JDLB39673058601659,Cash Withdrawals,4331,YYYY-43-DD 15:43:SS,Failed
10054,ROQU04343684339216,Online Payments,5790,YYYY-25-DD 16:25:SS,Completed
10055,OAXL78585583530754,Withdrawal,34325,YYYY-59-DD 16:59:SS,Failed
10056,HFMF10984344740838,Withdrawal,39341,YYYY-25-DD 12:25:SS,Pending
10057,LNHQ75462353039623,Online Payments,34407,YYYY-18-DD 23:18:SS,Completed
10058,PPBC01699884143353,Withdrawal,20200,YYYY-05-DD 03:05:SS,Pending
10059,VCFF77513633086427,Online Payments,19579,YYYY-21-DD 18:21:SS,Completed
10060,ZEVI16163127717572,Online Payments,11096,YYYY-46-DD 03:46:SS,Pending
10061,JNRR63815150272959,Cash Withdrawals,30530,YYYY-06-DD 02:06:SS,Failed
10062,WKFK81902216382292,Withdrawal,37032,YYYY-27-DD 18:27:SS,Pending
10063,VADK53398594350120,Online Payments,46282,YYYY-49-DD 19:49:SS,Completed
10064,EQYA99585236720153,Deposit,33907,YYYY-41-DD 06:41:SS,Pending
10065,EGWE14569877853824,Wire Transfers,9343,YYYY-56-DD 04:56:SS,Failed
10066,OONS15317427776270,Cash Withdrawals,6847,YYYY-49-DD 21:49:SS,Pending
10067,LKPR18644939537628,Deposit,9570,YYYY-34-DD 09:34:SS,Failed
10068,ACPJ51888928540506,Wire Transfers,12892,YYYY-25-DD 18:25:SS,Completed
10069,RKUY89784786099839,Checks,31181,YYYY-48-DD 20:48:SS,Completed
10070,ZWFN87465126026310,Wire Transfers,24863,YYYY-44-DD 15:44:SS,Pending
10071,ZAGK90173591617244,Withdrawal,14020,YYYY-44-DD 05:44:SS,Completed
10072,TBJX35319617249206,Checks,31108,YYYY-56-DD 15:56:SS,Failed
10073,LNOT53073328270333,Cash Withdrawals,42781,YYYY-35-DD 05:35:SS,Failed
10074,RBHP40756217619663,Wire Transfers,3869,YYYY-03-DD 15:03:SS,Failed
10075,MAUO58805087696002,Online Payments,22853,YYYY-50-DD 19:50:SS,Failed
10076,VADK53398594350120,Deposit,35094,YYYY-17-DD 02:17:SS,Completed
10077,SBAE98088752418873,Wire Transfers,14664,YYYY-53-DD 17:53:SS,Failed
10078,OZYG94363344583597,Deposit,17441,YYYY-15-DD 02:15:SS,Pending
10079,ZQIC63930840087605,Checks,3701,YYYY-54-DD 06:54:SS,Failed
10080,RFSY96193217088972,Cash Withdrawals,12984,YYYY-03-DD 13:03:SS,Completed
10081,LRVH65921229539098,Wire Transfers,12205,YYYY-19-DD 21:19:SS,Pending
10082,DEEG29414222055686,Online Payments,42305,YYYY-40-DD 05:40:SS,Pending
10083,BSXN04489860340418,Checks,5726,YYYY-36-DD 01:36:SS,Pending
10084,JPMS68009630984508,Online Payments,11063,YYYY-28-DD 02:28:SS,Completed
10085,FQBM55620351171422,Wire Transfers,23616,YYYY-08-DD 02:08:SS,Failed
10086,OXEZ21969860887929,Online Payments,6041,YYYY-21-DD 08:21:SS,Failed
10087,EGGB84851492623953,Deposit,46778,YYYY-46-DD 10:46:SS,Pending
10088,SYRP87636942963832,Deposit,39756,YYYY-33-DD 07:33:SS,Pending
10089,BFOD06387961261683,Wire Transfers,15793,YYYY-43-DD 13:43:SS,Pending
10090,TSCS83391002949854,Withdrawal,6316,YYYY-25-DD 08:25:SS,Failed
10091,LFFW68108403742373,Withdrawal,12034,YYYY-15-DD 07:15:SS,Completed
10092,CELT49231133637001,Deposit,26501,YYYY-55-DD 05:55:SS,Pending
10093,IEOE37000774175164,Checks,19671,YYYY-43-DD 16:43:SS,Pending
10094,WCZD80725816612129,Cash Withdrawals,45503,YYYY-43-DD 10:43:SS,Pending
10095,ALJO08805431996446,Checks,2473,YYYY-55-DD 01:55:SS,Pending
10096,ROHH66980492539774,Withdrawal,43924,YYYY-40-DD 06:40:SS,Failed
10097,OKWX77478218868307,Withdrawal,41797,YYYY-47-DD 14:47:SS,Completed
10098,FPTW64047083031280,Checks,29356,YYYY-05-DD 00:05:SS,Failed
10099,IWBY07193630267015,Wire Transfers,27541,YYYY-32-DD 23:32:SS,Completed
10100,ZSAB08835068425963,Deposit,25796,YYYY-08-DD 08:08:SS,Pending
10101,BTSI37571549126454,Checks,28979,YYYY-17-DD 23:17:SS,Completed
10102,XRIA06948781644363,Online Payments,4860,YYYY-45-DD 09:45:SS,Completed
10103,TIPO52572642347121,Wire Transfers,32520,YYYY-46-DD 02:46:SS,Completed
10104,KCVQ40317477811715,Deposit,18723,YYYY-38-DD 17:38:SS,Pending
10105,OXEZ21969860887929,Cash Withdrawals,1726,YYYY-49-DD 19:49:SS,Pending
10106,POLQ21202975334797,Wire Transfers,29349,YYYY-19-DD 11:19:SS,Pending
10107,XEPU58501433712068,Cash Withdrawals,30225,YYYY-49-DD 17:49:SS,Failed
10108,BMUT40393884448663,Wire Transfers,6512,YYYY-26-DD 10:26:SS,Completed
10109,KDIV24961512138825,Cash Withdrawals,13269,YYYY-51-DD 07:51:SS,Completed
10110,OPYU85318963206762,Online Payments,39342,YYYY-03-DD 22:03:SS,Pending
10111,MVMR27993618505549,Online Payments,26331,YYYY-04-DD 22:04:SS,Pending
10112,HMGR29940616830431,Withdrawal,24598,YYYY-47-DD 04:47:SS,Pending
10113,XNLP88651342492990,Withdrawal,43402,YYYY-01-DD 14:01:SS,Failed
10114,VYPF06308270643938,Checks,11413,YYYY-28-DD 17:28:SS,Completed
10115,SUKJ89857481934718,Withdrawal,49218,YYYY-17-DD 16:17:SS,Completed
10116,XMDB26595585691248,Deposit,4095,YYYY-34-DD 10:34:SS,Completed
10117,GFEE22558597721246,Wire Transfers,3186,YYYY-31-DD 20:31:SS,Completed
10118,FUOH48910733196662,Cash Withdrawals,16111,YYYY-43-DD 11:43:SS,Failed
10119,JBEY13201779083489,Wire Transfers,15771,YYYY-15-DD 16:15:SS,Completed
10120,NPWT80065442587280,Online Payments,4268,YYYY-27-DD 06:27:SS,Completed
10121,LMWL89824581060051,Cash Withdrawals,29800,YYYY-29-DD 10:29:SS,Completed
10122,DFWS56418144370237,Cash Withdrawals,14027,YYYY-33-DD 08:33:SS,Pending
10123,FTBS09763542659130,Wire Transfers,23348,YYYY-25-DD 05:25:SS,Pending
10124,IVAV07366934736068,Cash Withdrawals,49611,YYYY-49-DD 16:49:SS,Pending
10125,GZRZ91182464143975,Withdrawal,11453,YYYY-24-DD 18:24:SS,Failed
10126,MJNY99132316132249,Checks,13962,YYYY-03-DD 13:03:SS,Completed
10127,XMZK55768774177108,Withdrawal,46783,YYYY-28-DD 19:28:SS,Completed
10128,XLGZ67922890416373,Cash Withdrawals,5638,YYYY-02-DD 01:02:SS,Completed
10129,TVXU42122935286308,Cash Withdrawals,35713,YYYY-42-DD 06:42:SS,Pending
10130,YVAB78326176877947,Wire Transfers,40394,YYYY-11-DD 23:11:SS,Pending
10131,UXJC58935320003705,Deposit,28828,YYYY-13-DD 00:13:SS,Failed
10132,BTCD13590225159240,Wire Transfers,43725,YYYY-07-DD 11:07:SS,Failed
10133,YNZC00722125833083,Online Payments,1038,YYYY-43-DD 20:43:SS,Pending
10134,DBSD25486535860709,Withdrawal,2016,YYYY-10-DD 12:10:SS,Failed
10135,OOUS86096082401198,Deposit,15844,YYYY-58-DD 23:58:SS,Failed
10136,WGAQ79760026052152,Wire Transfers,30527,YYYY-05-DD 07:05:SS,Failed
10137,XONN64189365159114,Online Payments,38911,YYYY-03-DD 20:03:SS,Pending
10138,XJFV20791544083342,Checks,1546,YYYY-35-DD 23:35:SS,Pending
10139,EASV18632728557913,Cash Withdrawals,30604,YYYY-20-DD 01:20:SS,Completed
10140,GIKV06087815885742,Cash Withdrawals,44734,YYYY-09-DD 16:09:SS,Failed
10141,UZMQ71487850394492,Online Payments,19776,YYYY-57-DD 04:57:SS,Completed
10142,IYWW17132989925225,Wire Transfers,47026,YYYY-21-DD 17:21:SS,Completed
10143,DKCR21764593874157,Cash Withdrawals,13359,YYYY-18-DD 22:18:SS,Completed
10144,YROT05192026699726,Cash Withdrawals,14010,YYYY-12-DD 15:12:SS,Failed
10145,OTZQ04861324336569,Online Payments,30708,YYYY-40-DD 04:40:SS,Completed
10146,JPVX61929466543361,Cash Withdrawals,6458,YYYY-27-DD 01:27:SS,Pending
10147,JKGW09919697030090,Cash Withdrawals,2139,YYYY-37-DD 13:37:SS,Completed
10148,TLYM97036304080531,Wire Transfers,49385,YYYY-28-DD 17:28:SS,Completed
10149,HCAA22421815257142,Deposit,38270,YYYY-41-DD 13:41:SS,Pending
10150,ZKLH70670554225724,Withdrawal,43292,YYYY-20-DD 21:20:SS,Completed
10151,JENF58456409187744,Checks,1777,YYYY-49-DD 08:49:SS,Failed
10152,MVOR84446698380660,Withdrawal,12070,YYYY-07-DD 00:07:SS,Completed
10153,AIHQ20691855751789,Cash Withdrawals,26250,YYYY-57-DD 21:57:SS,Pending
10154,LXNI18655765291454,Online Payments,33801,YYYY-45-DD 10:45:SS,Completed
10155,BQSR24376808177400,Cash Withdrawals,30393,YYYY-11-DD 02:11:SS,Pending
10156,BCYQ42304317557385,Online Payments,32709,YYYY-59-DD 20:59:SS,Failed
10157,CETH78840956977856,Cash Withdrawals,23859,YYYY-53-DD 21:53:SS,Pending
10158,DCKH08614573557923,Online Payments,43153,YYYY-18-DD 08:18:SS,Completed
10159,HSGU74770849163588,Online Payments,20452,YYYY-44-DD 05:44:SS,Completed
10160,ZPJW82084970351964,Deposit,16365,YYYY-07-DD 01:07:SS,Failed
10161,BSDU06359034178191,Online Payments,8586,YYYY-06-DD 19:06:SS,Pending
10162,UNKL18732878357641,Cash Withdrawals,14427,YYYY-50-DD 00:50:SS,Completed
10163,XNAU39902944191846,Wire Transfers,14642,YYYY-57-DD 10:57:SS,Failed
10164,AAQY78107815323857,Online Payments,17538,YYYY-41-DD 03:41:SS,Pending
10165,NQRC27539759198806,Online Payments,43593,YYYY-22-DD 03:22:SS,Failed
10166,GLFW35260777140566,Deposit,12400,YYYY-12-DD 08:12:SS,Failed
10167,FBSW69890297359601,Checks,22000,YYYY-13-DD 21:13:SS,Pending
10168,ATWL12511174285598,Deposit,19348,YYYY-33-DD 23:33:SS,Completed
10169,ITRJ53131750569760,Deposit,3840,YYYY-48-DD 03:48:SS,Pending
10170,IHHQ11099262526687,Deposit,21806,YYYY-36-DD 05:36:SS,Pending
10171,EMYF18860771816083,Checks,6165,YYYY-11-DD 01:11:SS,Pending
10172,PMNZ08679721098142,Deposit,41451,YYYY-31-DD 09:31:SS,Failed
10173,GXSI73288971521310,Withdrawal,3194,YYYY-37-DD 08:37:SS,Pending
10174,LQRZ22481580584823,Checks,40552,YYYY-27-DD 06:27:SS,Failed
10175,XGBE29280032338493,Cash Withdrawals,21779,YYYY-04-DD 00:04:SS,Pending
10176,OICY17196907854371,Online Payments,35386,YYYY-39-DD 03:39:SS,Completed
10177,EWLH22134631844628,Online Payments,33795,YYYY-56-DD 12:56:SS,Failed
10178,CDSU21017952215443,Checks,41919,YYYY-22-DD 06:22:SS,Completed
10179,MMIY98100970772311,Wire Transfers,47591,YYYY-10-DD 15:10:SS,Failed
10180,SBUO67862144321899,Withdrawal,12202,YYYY-12-DD 17:12:SS,Completed
10181,LQLF72582099446410,Cash Withdrawals,22954,YYYY-25-DD 19:25:SS,Failed
10182,LMCI49528775898875,Online Payments,31221,YYYY-14-DD 13:14:SS,Pending
10183,CZVJ09977829465579,Online Payments,37167,YYYY-53-DD 18:53:SS,Completed
10184,IQID90468905134262,Wire Transfers,2945,YYYY-00-DD 16:00:SS,Completed
10185,DLKH12275200284222,Cash Withdrawals,22221,YYYY-59-DD 00:59:SS,Completed
10186,LNQW39101830814908,Cash Withdrawals,9797,YYYY-08-DD 22:08:SS,Completed
10187,CCFG29356475985523,Withdrawal,12524,YYYY-04-DD 05:04:SS,Failed
10188,RIFW90156486026002,Online Payments,9612,YYYY-23-DD 00:23:SS,Completed
10189,SJXL69308392327115,Online Payments,40640,YYYY-45-DD 18:45:SS,Pending
10190,POYU92458419879070,Deposit,34328,YYYY-43-DD 17:43:SS,Failed
10191,GEVQ62852604710063,Withdrawal,11130,YYYY-39-DD 00:39:SS,Failed
10192,GADE36379352324443,Cash Withdrawals,17810,YYYY-15-DD 08:15:SS,Completed
10193,HFKW37855619015380,Online Payments,13281,YYYY-02-DD 02:02:SS,Failed
10194,VZXV37964456895607,Cash Withdrawals,44115,YYYY-06-DD 04:06:SS,Pending
10195,OPBB37950733673783,Cash Withdrawals,11384,YYYY-21-DD 18:21:SS,Failed
10196,NUAG37896097844190,Withdrawal,26816,YYYY-40-DD 03:40:SS,Pending
10197,EQKU56649920199137,Online Payments,9602,YYYY-42-DD 17:42:SS,Completed
10198,WREY82186450609117,Cash Withdrawals,34824,YYYY-44-DD 19:44:SS,Failed
10199,FEDX47661712249672,Online Payments,16605,YYYY-29-DD 06:29:SS,Failed
10200,KHBR65121303838151,Cash Withdrawals,42277,YYYY-37-DD 23:37:SS,Completed
10201,AMLW55281081191466,Deposit,35276,YYYY-18-DD 19:18:SS,Completed
10202,UPCR16051430536307,Checks,23157,YYYY-03-DD 22:03:SS,Completed
10203,TVXU42122935286308,Online Payments,26893,YYYY-42-DD 04:42:SS,Pending
10204,VCRX18603521268097,Deposit,32395,YYYY-14-DD 03:14:SS,Completed
10205,JLVV16300157554770,Wire Transfers,2796,YYYY-06-DD 19:06:SS,Failed
10206,YESC75854010810187,Wire Transfers,41446,YYYY-13-DD 11:13:SS,Pending
10207,LNOT53073328270333,Deposit,16367,YYYY-04-DD 01:04:SS,Pending
10208,JBNX02025879502150,Withdrawal,21384,YYYY-23-DD 18:23:SS,Failed
10209,EZFK05653684402129,Wire Transfers,12876,YYYY-45-DD 03:45:SS,Completed
10210,UAEG55083123913034,Wire Transfers,34596,YYYY-37-DD 22:37:SS,Failed
10211,ANAK58706992411046,Withdrawal,44495,YYYY-54-DD 23:54:SS,Failed
10212,BGPR63303648684561,Withdrawal,26633,YYYY-35-DD 18:35:SS,Pending
10213,TUSA80286311988966,Checks,9004,YYYY-12-DD 07:12:SS,Failed
10214,JCQE63821735380428,Online Payments,27936,YYYY-00-DD 19:00:SS,Pending
10215,OGOR52094748875616,Deposit,2632,YYYY-17-DD 13:17:SS,Completed
10216,KVZI08158469253566,Deposit,40902,YYYY-39-DD 13:39:SS,Failed
10217,MEPH78502633560824,Cash Withdrawals,48798,YYYY-45-DD 19:45:SS,Pending
10218,OICY17196907854371,Cash Withdrawals,15483,YYYY-30-DD 07:30:SS,Pending
10219,RIFO60066557259936,Withdrawal,28557,YYYY-44-DD 05:44:SS,Failed
10220,QIOT28574180630968,Cash Withdrawals,27794,YYYY-53-DD 22:53:SS,Completed
10221,SQSH60380200250173,Withdrawal,31334,YYYY-46-DD 17:46:SS,Pending
10222,AQRA60524715407024,Withdrawal,12236,YYYY-53-DD 03:53:SS,Pending
10223,OONS15317427776270,Deposit,26729,YYYY-14-DD 23:14:SS,Failed
10224,UPCR16051430536307,Withdrawal,6124,YYYY-56-DD 14:56:SS,Failed
10225,OCDB68260949379990,Wire Transfers,25175,YYYY-48-DD 04:48:SS,Failed
10226,XORJ89281045290489,Wire Transfers,6479,YYYY-55-DD 20:55:SS,Failed
10227,JUDA15555991929122,Withdrawal,35490,YYYY-10-DD 18:10:SS,Failed
10228,SNQA24939646866752,Wire Transfers,49833,YYYY-52-DD 16:52:SS,Completed
10229,YAOF03156133049142,Cash Withdrawals,48397,YYYY-04-DD 18:04:SS,Failed
10230,RYRU50763364438464,Wire Transfers,38687,YYYY-05-DD 20:05:SS,Pending
10231,XBEH43269317660129,Deposit,2877,YYYY-16-DD 18:16:SS,Pending
10232,BCIJ44479445804569,Withdrawal,3381,YYYY-38-DD 21:38:SS,Failed
10233,PWYV99363964717650,Wire Transfers,36283,YYYY-03-DD 19:03:SS,Completed
10234,KRUB66869666686952,Wire Transfers,37667,YYYY-14-DD 21:14:SS,Pending
10235,OUHW19181542904399,Checks,33507,YYYY-37-DD 05:37:SS,Pending
10236,CZOU72906349230004,Online Payments,28534,YYYY-31-DD 06:31:SS,Completed
10237,YSHD38365051298053,Cash Withdrawals,11702,YYYY-40-DD 01:40:SS,Completed
10238,YGXJ30101485264858,Wire Transfers,1831,YYYY-05-DD 14:05:SS,Failed
10239,WZKK78929032740808,Online Payments,28920,YYYY-59-DD 12:59:SS,Completed
10240,EFRL96957902381271,Withdrawal,3417,YYYY-23-DD 01:23:SS,Pending
10241,DYVE52766112337691,Cash Withdrawals,3462,YYYY-17-DD 16:17:SS,Completed
10242,QWEC26938137092442,Withdrawal,38913,YYYY-29-DD 20:29:SS,Pending
10243,YVAB78326176877947,Deposit,37126,YYYY-17-DD 00:17:SS,Completed
10244,GEOW14165758644822,Deposit,34067,YYYY-33-DD 19:33:SS,Completed
10245,QBSY72534714789315,Checks,18205,YYYY-19-DD 20:19:SS,Pending
10246,QYBT50505102366322,Deposit,30028,YYYY-12-DD 12:12:SS,Completed
10247,UOQJ79963756490995,Wire Transfers,31389,YYYY-16-DD 17:16:SS,Completed
10248,OHUS95939642913049,Withdrawal,1495,YYYY-41-DD 16:41:SS,Completed
10249,XORJ89281045290489,Online Payments,47058,YYYY-09-DD 14:09:SS,Failed
10250,OINB56661381028051,Online Payments,37005,YYYY-10-DD 10:10:SS,Failed
10251,KWDW82137802212872,Withdrawal,18165,YYYY-54-DD 17:54:SS,Pending
10252,WODS33999858668821,Deposit,9142,YYYY-09-DD 05:09:SS,Pending
10253,SYSX15925000301663,Withdrawal,28041,YYYY-56-DD 22:56:SS,Completed
10254,RETQ90816848895079,Wire Transfers,6278,YYYY-23-DD 18:23:SS,Pending
10255,UILL55182951831293,Deposit,1544,YYYY-26-DD 23:26:SS,Completed
10256,KHVS12172325281284,Wire Transfers,45212,YYYY-24-DD 06:24:SS,Failed
10257,EPLO12932240727161,Online Payments,34543,YYYY-09-DD 10:09:SS,Completed
10258,YVAB78326176877947,Checks,46419,YYYY-12-DD 11:12:SS,Pending
10259,DIIG32785177932777,Online Payments,10178,YYYY-31-DD 14:31:SS,Failed
10260,SXHF54301301839630,Wire Transfers,20383,YYYY-07-DD 00:07:SS,Pending
10261,HQWZ29728899555278,Cash Withdrawals,4254,YYYY-22-DD 12:22:SS,Pending
10262,FARI22149030957937,Online Payments,44730,YYYY-50-DD 09:50:SS,Pending
10263,DDEN91470929658979,Deposit,9492,YYYY-00-DD 03:00:SS,Failed
10264,TQFZ73684792709555,Checks,20486,YYYY-21-DD 20:21:SS,Completed
10265,LEUK07408613405541,Withdrawal,40893,YYYY-41-DD 09:41:SS,Failed
10266,VKEH24690828612043,Checks,2808,YYYY-34-DD 15:34:SS,Completed
10267,TQMV64027621264656,Online Payments,23527,YYYY-52-DD 21:52:SS,Failed
10268,RURL07721856923821,Withdrawal,42683,YYYY-36-DD 17:36:SS,Failed
10269,OILT55661661509092,Checks,16694,YYYY-41-DD 08:41:SS,Failed
10270,HVHY60035146184376,Cash Withdrawals,35981,YYYY-03-DD 21:03:SS,Pending
10271,MJNE24511567268916,Wire Transfers,19950,YYYY-24-DD 04:24:SS,Failed
10272,RUIP29210387639719,Deposit,19055,YYYY-30-DD 17:30:SS,Completed
10273,GSYS75782275040639,Checks,23143,YYYY-28-DD 12:28:SS,Pending
10274,SNWQ37917410527283,Wire Transfers,31385,YYYY-56-DD 03:56:SS,Failed
10275,HKKQ93904766906310,Cash Withdrawals,44420,YYYY-12-DD 21:12:SS,Completed
10276,QIOT28574180630968,Cash Withdrawals,35622,YYYY-32-DD 20:32:SS,Failed
10277,KGJX00960164029012,Cash Withdrawals,12420,YYYY-59-DD 13:59:SS,Completed
10278,RNZG25780872158164,Deposit,3837,YYYY-22-DD 09:22:SS,Failed
10279,PWTS36635012958966,Deposit,2885,YYYY-24-DD 23:24:SS,Failed
10280,QXZE34826286863630,Checks,46289,YYYY-17-DD 20:17:SS,Failed
10281,JKAK42478456818657,Checks,16543,YYYY-12-DD 19:12:SS,Failed
10282,JFGA52282604361675,Wire Transfers,17793,YYYY-47-DD 22:47:SS,Completed
10283,HZIS67783277565266,Cash Withdrawals,49540,YYYY-30-DD 17:30:SS,Completed
10284,FBJH59158842784273,Cash Withdrawals,43622,YYYY-07-DD 01:07:SS,Failed
10285,VEZS38375731367571,Checks,13145,YYYY-09-DD 07:09:SS,Completed
10286,HSGU74770849163588,Online Payments,44886,YYYY-12-DD 20:12:SS,Completed
10287,EBDG01661148850919,Checks,27596,YYYY-20-DD 07:20:SS,Failed
10288,ZBHS16478894971952,Checks,42044,YYYY-52-DD 22:52:SS,Pending
10289,BGQK45850005870885,Withdrawal,22290,YYYY-02-DD 21:02:SS,Pending
10290,ZWUI60371101470365,Wire Transfers,48674,YYYY-40-DD 01:40:SS,Failed
10291,GTNT04919496383691,Deposit,47882,YYYY-47-DD 09:47:SS,Completed
10292,UWXX32045715801974,Online Payments,46744,YYYY-14-DD 10:14:SS,Completed
10293,AERP30243898118651,Cash Withdrawals,47496,YYYY-52-DD 08:52:SS,Failed
10294,NHOE75718347830415,Deposit,13209,YYYY-23-DD 20:23:SS,Failed
10295,WZYC04405385005049,Wire Transfers,19505,YYYY-19-DD 16:19:SS,Pending
10296,BSNC59957831357037,Wire Transfers,18726,YYYY-18-DD 12:18:SS,Pending
10297,DDNO96618570740261,Checks,34616,YYYY-11-DD 00:11:SS,Failed
10298,JEFX50666197905248,Withdrawal,47572,YYYY-22-DD 08:22:SS,Completed
10299,AYDL67811443525001,Withdrawal,10802,YYYY-08-DD 18:08:SS,Failed
10300,EBLZ42142849257060,Checks,1717,YYYY-19-DD 16:19:SS,Failed
10301,PLIJ27898306424325,Withdrawal,14858,YYYY-54-DD 22:54:SS,Completed
10302,DEEG29414222055686,Deposit,46675,YYYY-14-DD 05:14:SS,Pending
10303,RING91452583478684,Online Payments,44036,YYYY-47-DD 14:47:SS,Completed
10304,VJWP38014266069157,Checks,34198,YYYY-16-DD 18:16:SS,Completed
10305,VGSC19047133192134,Checks,18754,YYYY-34-DD 16:34:SS,Pending
10306,DLGQ85891949547650,Deposit,44076,YYYY-52-DD 01:52:SS,Completed
10307,UVCK74626174985302,Wire Transfers,16885,YYYY-07-DD 22:07:SS,Completed
10308,HTGD62209474592647,Cash Withdrawals,21547,YYYY-04-DD 02:04:SS,Completed
10309,NJJG53628667427572,Wire Transfers,23874,YYYY-44-DD 09:44:SS,Completed
10310,MPPA78343713421475,Cash Withdrawals,17735,YYYY-35-DD 23:35:SS,Completed
10311,WIOR57622461235035,Online Payments,42198,YYYY-40-DD 03:40:SS,Pending
10312,WHTN83872050457217,Wire Transfers,48482,YYYY-27-DD 06:27:SS,Completed
10313,JCKN79853305422574,Deposit,37381,YYYY-26-DD 20:26:SS,Completed
10314,HCJU26256820257224,Deposit,29129,YYYY-43-DD 09:43:SS,Completed
10315,HZMD09389485992638,Online Payments,48776,YYYY-15-DD 21:15:SS,Failed
10316,MACK22091818320633,Checks,31935,YYYY-45-DD 22:45:SS,Completed
